"48-19 Vernon Boulevard, Unit 2B",Hunters Point,2500,1 BD,1 BA
"1869 Gates, Unit 2R",Ridgewood,2850,3 BD,2 BA
"1869 Gates, Unit 2L",Ridgewood,2850,3 BD,2 BA
"30-44 32nd Street, Unit A2",Astoria,2613,2 BD,1 BA
"37-14 36th Street, Unit 11DD",Long Island City,4085,2 BD,2 BA
"41-42 24th Street, Unit 6246",Long Island City,2376,Studio,1 BA
"34-04 34th Avenue, Unit A33",New Astoria,2567,2 BD,1 BA
"34-04 34th Avenue, Unit B11",New Astoria,3575,3 BD,1 BA
"86-02 Park Lane South, Unit 5A",Woodhaven,2095,1 BD,1 BA
"154 Woodward Avenue, Unit 1L",Ridgewood,3000,2 BD,1 BA
"26-22 18th Street, Unit 3R",Astoria,2200,2 BD,1 BA
"47-37 45th Street, Unit 5K",Sunnyside,1790,1 BD,1 BA
"45-15 Colden Street, Unit 3C",Queensboro Hill,1971,1 BD,1 BA
"62-60 108th Street, Unit 4J",Forest Hills,2592,2 BD,1 BA
"102-50 62nd Road, Unit 2J",Rego Park,1728,Studio,1 BA
"123-60 83rd Avenue, Unit 3V",Kew Gardens,1728,Studio,1 BA
"137-20 45th Avenue, Unit 1S",Flushing,2403,2 BD,1 BA
"44-41 Purves Street, Unit 2304",Long Island City,2680,Studio,1 BA
"38-53 12th Street, Unit 2",Long Island City,2600,2 BD,2 BA
"41-18 Crescent Street, Unit 10J",Long Island City,3575,2 BD,1 BA
"93-02 103rd Avenue, Unit 2B",Ozone Park,2500,2 BD,1 BA
"93-02 103rd Avenue, Unit 2A",Ozone Park,2500,2 BD,1 BA
"37-40 27th Street, Unit 2F",Long Island City,2225,Studio,1 BA
"134 Meridian Boulevard, Unit A",Arverne,2800,3 BD,2.5 BA
"31-35 31st Street, Unit 411",Astoria,2700,1 BD,1 BA
"31-57 31st Street, Unit 209",Astoria,4395,2 BD,2 BA
"40-28 College Pt Boulevard, Unit 915",Flushing,2700,1 BD,1 BA
"40-26 College Pt Boulevard, Unit 10A",Flushing,2300,1 BD,1 BA
"90-02 Queens Boulevard, Unit 514",Elmhurst,1800,Studio,1 BA
"90-02 Queens Boulevard, Unit 514",Elmhurst,1800,Studio,1 BA
"31-14 35th Street, Unit 4A",Astoria,1900,1 BD,1 BA
"104-60 Queens Boulevard, Unit 7R",Rego Park,1955,Studio,1 BA
"98-01 67th Avenue, Unit 9U",Rego Park,2411,1 BD,1 BA
"29-22 Northern Boulevard, Unit 3106",Long Island City,3190,Studio,1 BA
"29-22 Northern Boulevard, Unit 2707",Long Island City,2825,Studio,1 BA
"5662 Remsen Place, Unit 3",Maspeth,1850,2 BD,1 BA
"17802 Hillside Avenue, Unit 519",Eastwood,1875,Studio,1 BA
"71-22 67th Place, Unit 2",Glendale,1900,2 BD,1 BA
"44-28 Purves Street, Unit 5J",Long Island City,2755,Studio,1 BA
"21-57 33rd Street, Unit 5H",Steinway,2195,2 BD,1 BA
"46-10 Center Boulevard, Unit 2404",Hunters Point,2600,Studio,1 BA
"37-25 33rd Street, Unit 4C",Long Island City,2600,1 BD,1 BA
"37 73rd Street, Unit 3P",Jackson Heights,2295,1 BD,1 BA
"19-19 24th Avenue, Unit R302",Astoria,2195,1 BD,1 BA
"37-25 33rd Street, Unit 5E",Long Island City,2750,1 BD,1 BA
"98-05 67th Avenue, Unit 12B",Rego Park,2302,1 BD,1 BA
"104-40 Queens Boulevard, Unit 2G",Rego Park,2880,2 BD,1 BA
"60-31 60th Place, Unit 1C",Maspeth,1800,Studio,1 BA
"779 Wyckoff Avenue, Unit 4B",Ridgewood,3135,2 BD,2 BA
"72-10 41st Avenue, Unit 1X",Elmhurst,2471,2 BD,1 BA
"31-57 31st Street, Unit 6211",Astoria,2425,Studio,1 BA
"21-72 43rd Street, Unit 3",Steinway,3000,4 BD,2 BA
"147-36 94th Avenue, Unit 18I",Jamaica,2170,1 BD,1 BA
"10 47th Road, Unit 2",Hunters Point,3800,2 BD,1 BA
"45-42 Vernon Boulevard, Unit 1",Hunters Point,2400,1 BD,1 BA
"10 47th Road, Unit 1",Hunters Point,4000,2 BD,1 BA
"34-44 33rd Street, Unit 3",New Astoria,2900,3 BD,1.5 BA
"11-15 Broadway, Unit 5K",Astoria,2410,1 BD,1 BA
