Address,Price,Description,Neighborhood,Boro
East 82nd Street,5815,"2 Beds / 2 Baths / 1,299 Sq. Ft. / Rental",Upper East Side,Manhattan
West 147th Street,2895,4 Beds / 1 Bath / Rental,Hamilton Heights,Manhattan
West 16th Street,4200,1 Bed / 1 Bath / Rental,Greenwich Village,Manhattan
West 14th Street,4125,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
Park Avenue,25000,"3 Beds / 3 Baths / 2,700 Sq. Ft. / Co-op",Upper East Side,Manhattan
Perry Street,7500,7 Units / 4 Floors / Multi-Family Townhouse,West Village,Manhattan
West 56th Street,5250,1 Bed / 1 Bath / 670 Sq. Ft. / Rental,Midtown West,Manhattan
West 73rd Street,3290,10 Units / 6 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
Mulberry Street,4300,1 Bed / 1 Bath / Rental,Soho/Nolita,Manhattan
West 16th Street,4050,1 Bed / 1 Bath / Rental,Greenwich Village,Manhattan
West 16th Street,3495,1 Bed / 1 Bath / Rental,Flatiron,Manhattan
Worth Street,7000,"2 Beds / 2 Baths / 1,200 Sq. Ft. / Condo",Tribeca,Manhattan
"1762 First Avenue, Apt. R",3429,3 Beds / 1 Bath / Rental,Upper East Side,Manhattan
"250 Mott Street, Apt. 3",4095,1 Bed / 1 Bath / Rental,Soho/Nolita,Manhattan
Adam Clayton Powell Jr Boulevard,2200,2 Beds / 1 Bath / Rental,Harlem,Manhattan
West 177th Street,2600,3 Beds / 1 Bath / 750 Sq. Ft. / Rental,Washington Heights,Manhattan
"330 East 39th Street, Apt. 10M",4870,2 Beds / 1 Bath / 742 Sq. Ft. / Rental,Murray Hill,Manhattan
East End Avenue,3350,1 Bed / 1 Bath / 770 Sq. Ft. / Rental,Upper East Side,Manhattan
East 81st Street,3000,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
East 39th Street,3850,1 Bed / 1 Bath / Rental,Murray Hill,Manhattan
East 39th Street,4750,2 Beds / 1 Bath / Rental,Murray Hill,Manhattan
West Street,7500,"2 Beds / 2 Baths / 1,526 Sq. Ft. / Condo",Battery Park City,Manhattan
Edgecombe Avenue,4200,"4 Units / 4 Floors / 1,100 Sq. Ft. / Multi-Family Townhouse",Harlem,Manhattan
BROADWAY,2600,3 Beds / 1 Bath / Rental,Washington Heights,Manhattan
4TH Avenue,3200,Studio / 1 Bath / Rental,East Village,Manhattan
Eleventh Avenue,4178,1 Bed / 1 Bath / Rental,Midtown West,Manhattan
East 34th Street,5500,2 Beds / 2 Baths / Rental,Murray Hill,Manhattan
East 34th Street,5500,2 Beds / 2 Baths / Rental,Murray Hill,Manhattan
West 30th Street,6500,"1 Bed / 1 Bath / 1,042 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
East 6th Street,4995,3 Beds / 2 Baths / Mixed Use Townhouse,East Village,Manhattan
3RD Avenue,2700,1 Bed / 1 Bath / Rental,Murray Hill,Manhattan
"8 Spruce Street, Apt. 45A",7910,2 Beds / 2 Baths / Rental,Financial District,Manhattan
First Avenue,3650,1 Bed / 1 Bath / 948 Sq. Ft. / Condo,Midtown East,Manhattan
Avenue A,2585,1 Bed / 1 Bath / Rental,East Village,Manhattan
East 44th Street,5250,2 Beds / 2 Baths / Rental,Midtown East,Manhattan
East 44th Street,5595,2 Beds / 2 Baths / Rental,Midtown East,Manhattan
East 79th Street,15000,"3 Beds / 3 Baths / 2,500 Sq. Ft. / Rental",Upper East Side,Manhattan
"250 Bowery, Apt. 4B",9000,"2 Beds / 2 Baths / 1,250 Sq. Ft. / Condo",Soho/Nolita,Manhattan
"220 East 65th Street, Apt. 3E",2500,Studio / 1 Bath / Condo,Upper East Side,Manhattan
Park Place,4700,1 Bed / 1 Bath / 900 Sq. Ft. / Rental,Tribeca,Manhattan
First Avenue,1900,Studio / 1 Bath / Rental,Upper East Side,Manhattan
East 34th Street,3895,1 Bed / 1 Bath / Rental,Murray Hill,Manhattan
West 57th Street,9495,"2 Beds / 2 Baths / 1,599 Sq. Ft. / Condo",Midtown West,Manhattan
"1875 Lexington Avenue, Apt. 2A",3500,3 Beds / 1 Bath / 745 Sq. Ft. / Rental,East Harlem,Manhattan
"154 West 15th Street, Apt. 2B",3500,12 Units / 6 Floors / 568 Sq. Ft. / Multi-Family Townhouse,Chelsea/Hudson Yards,Manhattan
East 86th Street,3400,Studio / 1 Bath / Rental,Upper East Side,Manhattan
East 86th Street,4250,1 Bed / 1 Bath / 750 Sq. Ft. / Rental,Upper East Side,Manhattan
Park Terrace West,2300,2 Beds / 1 Bath / Rental,Inwood,Manhattan
East 68th Street,10750,"3 Beds / 3 Baths / 1,717 Sq. Ft. / Rental",Upper East Side,Manhattan
East 63rd Street,11500,"2 Beds / 2 Baths / 1,644 Sq. Ft. / Condo",Upper East Side,Manhattan
AUDUBON Avenue,2495,2 Beds / 1 Bath / Rental,Washington Heights,Manhattan
AUDUBON Avenue,2495,2 Beds / 1 Bath / Rental,Washington Heights,Manhattan
East 53rd Street,7995,"1 Bed / 2 Baths / 1,700 Sq. Ft. / Condo",Midtown East,Manhattan
West 86th Street,4150,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
East 58th Street,2990,1 Bed / 1 Bath / 525 Sq. Ft. / Rental,Sutton Area,Manhattan
West 20th Street,4200,2 Beds / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"123 Washington Street, Apt. 37D",5600,1 Bed / 1 Bath / 732 Sq. Ft. / Condo,Financial District,Manhattan
West 90th Street,7500,"3 Beds / 3 Baths / 1,800 Sq. Ft. / Rental",Upper West Side,Manhattan
Ludlow Street,3600,2 Beds / 1 Bath / 1 Sq. Ft. / Rental,Lower East Side,Manhattan
"106 Fort Washington Avenue, Apt. 1F",2725,2 Beds / 1 Bath / 905 Sq. Ft. / Rental,Washington Heights,Manhattan
Chrystie Street,4780,1 Bed / 1 Bath / 672 Sq. Ft. / Rental,East Village,Manhattan
Wall Street,5495,"2 Beds / 2 Baths / 1,011 Sq. Ft. / Condo",Financial District,Manhattan
"30 West 76th Street, Apt. 1",4500,"10 Units / 5 Floors / 1,200 Sq. Ft. / Multi-Family Townhouse",Upper West Side,Manhattan
East 13th Street,5100,1 Bed / 2 Baths / Rental,Greenwich Village,Manhattan
East 89th Street,3625,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
4TH Avenue,3200,Studio / 1 Bath / Rental,East Village,Manhattan
Chambers Street,5075,2 Beds / 1 Bath / 850 Sq. Ft. / Rental,Battery Park City,Manhattan
"40 Central Park South, Apt. 17CD",24500,"3 Beds / 3 Baths / 2,450 Sq. Ft. / Rental",Central Park South,Manhattan
East 39th Street,3400,1 Bed / 1 Bath / Rental,Murray Hill,Manhattan
East 44th Street,6150,"2 Beds / 2 Baths / 1,026 Sq. Ft. / Rental",Midtown East,Manhattan
"30 West 76th Street, Apt. 7",2400,10 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
West 135th Street,2275,2 Beds / 1 Bath / Rental,Harlem,Manhattan
East 4th Street,3000,1 Bed / 1 Bath / Rental,East Village,Manhattan
East 4th Street,2400,Studio / 1 Bath / Rental,East Village,Manhattan
East 27th Street,3350,1 Bed / 1 Bath / Rental,Gramercy,Manhattan
"10 East 128th Street, Apt. 1A",3200,6 Units / 3 Floors / Multi-Family Townhouse,Harlem,Manhattan
East 27th Street,3350,1 Bed / 1 Bath / Rental,Gramercy,Manhattan
"166 Duane Street, Apt. 3B",22000,"4 Beds / 3 Baths / 3,621 Sq. Ft. / Condo",Tribeca,Manhattan
Franklin Street,16500,"2 Beds / 2 Baths / 2,050 Sq. Ft. / Rental",Tribeca,Manhattan
West 21st Street,4600,1 Bed / 1 Bath / Co-op,Chelsea/Hudson Yards,Manhattan
Elizabeth Street,4695,1 Bed / 1 Bath / Rental,Soho/Nolita,Manhattan
East 27th Street,3150,1 Bed / 1 Bath / Rental,Murray Hill,Manhattan
East 64th Street,3500,1 Bed / 1 Bath / 600 Sq. Ft. / Condo,Upper East Side,Manhattan
East 57th Street,22000,"3 Beds / 3 Baths / 2,400 Sq. Ft. / Condo",Midtown East,Manhattan
West 26th Street,4295,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
1ST Avenue,1900,Studio / 1 Bath / Rental,Upper East Side,Manhattan
West 67th Street,7200,3 Beds / 3 Baths / Rental,Upper West Side,Manhattan
POST Avenue,2295,2 Beds / 1 Bath / Condo/Co-op,Inwood,Manhattan
"96 Greene Street, Apt. 5",6250,"1 Bed / 1 Bath / 1,800 Sq. Ft. / Rental",Soho/Nolita,Manhattan
East 20th Street,3800,1 Bed / 1 Bath / Rental,Gramercy,Manhattan
East 92nd Street,3999,3 Beds / 1 Bath / Rental,Upper East Side,Manhattan
East 34th Street,4295,2 Beds / 1 Bath / Rental,Murray Hill,Manhattan
Charles Street,5500,1 Bed / 1 Bath / 650 Sq. Ft. / Rental,Greenwich Village,Manhattan
West 67th Street,7000,1 Bed / 1 Bath / Co-op,Upper West Side,Manhattan
"23 East 22nd Street, Apt. 24A",30000,"3 Beds / 3 Baths / 2,723 Sq. Ft. / Condo",Flatiron,Manhattan
"20 Exchange Place, Apt. 1201",2770,Studio / 1 Bath / Rental,Financial District,Manhattan
West 48th Street,4300,1 Bed / 1 Bath / 772 Sq. Ft. / Condo,Midtown West,Manhattan
West 57th Street,4300,1 Bed / 1 Bath / 730 Sq. Ft. / Condo,Midtown West,Manhattan
East 90th Street,3150,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
East 50th Street,4600,25 Units / 6 Floors / Multi-Family Townhouse,Beekman,Manhattan
Gramercy Park South,2950,Studio / 1 Bath / Rental,Gramercy,Manhattan
Greenwich Street,40000,"4 Beds / 4 Baths / 3,693 Sq. Ft. / Condo",Tribeca,Manhattan
"507 West 28th Street, Apt. 7C",2950,Studio / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
Frederick Douglass Boulevard,4250,"2 Beds / 2 Baths / 1,010 Sq. Ft. / Condo",Harlem,Manhattan
East 7th Street,4800,"1 Bed / 1 Bath / 1,145 Sq. Ft. / Rental",East Village,Manhattan
"309 West 121st Street, Apt. 4B",3900,3 Beds / 2 Baths / Co-op,Harlem,Manhattan
"63 East 79th Street, Apt. 4N",4500,1 Bed / 1 Bath / 800 Sq. Ft. / Co-op,Upper East Side,Manhattan
East 65th Street,17000,"3 Beds / 3 Baths / 1,850 Sq. Ft. / Condo",Upper East Side,Manhattan
East 90th Street,4199,1 Bed / 1 Bath / 844 Sq. Ft. / Condo,Carnegie Hill,Manhattan
Eighth Avenue,4200,2 Beds / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
West 23rd Street,3995,1 Bed / 1 Bath / 540 Sq. Ft. / Condo,Chelsea/Hudson Yards,Manhattan
Beekman Street,12500,"2 Beds / 2 Baths / 1,625 Sq. Ft. / Condo",Financial District,Manhattan
West 147th Street,4200,2 Units / 3 Floors / Multi-Family Townhouse,Hamilton Heights,Manhattan
Park Avenue South,10500,"3 Beds / 2 Baths / 2,135 Sq. Ft. / Rental",Flatiron,Manhattan
West 80th Street,16000,"4 Beds / 3 Baths / 2,202 Sq. Ft. / Condo",Upper West Side,Manhattan
East 91st Street,1950,Studio / 1 Bath / Rental,Upper East Side,Manhattan
East 93rd Street,2100,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
West End Avenue,3450,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
"220 East 65th Street, Apt. 17A",3575,1 Bed / 1 Bath / Condo,Upper East Side,Manhattan
West 137th Street,2100,Studio / 1 Bath / Rental,Harlem,Manhattan
East 5th Street,2850,1 Bed / 1 Bath / Rental,East Village,Manhattan
West 98th Street,7500,"3 Beds / 2 Baths / 1,500 Sq. Ft. / Condo",Upper West Side,Manhattan
"40 Broad Street, Apt. PH-5A",14955,"2 Beds / 2 Baths / 3,500 Sq. Ft. / Condo",Financial District,Manhattan
West 54th Street,8200,3 Beds / 2 Baths / Rental,Clinton,Manhattan
Central Park South,3350,1 Bed / 1 Bath / 700 Sq. Ft. / Condo,Central Park South,Manhattan
"33 Canal Street, Apt. 5R",2150,1 Bed / 1 Bath / Mixed Use Townhouse,Lower East Side,Manhattan
West 46th Street,7600,"2 Beds / 2 Baths / 1,308 Sq. Ft. / Condo",Midtown West,Manhattan
"33 Canal Street, Apt. 5R",2200,1 Bed / 1 Bath / Mixed Use Townhouse,Lower East Side,Manhattan
"155 East 34th Street, Apt. 6D",2850,1 Bed / 1 Bath / 508 Sq. Ft. / Condo,Murray Hill,Manhattan
Mulberry Street,2800,1 Bed / 1 Bath / Co-op,Soho/Nolita,Manhattan
West 75th Street,2650,10 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
West 67th Street,14950,"3 Beds / 3 Baths / 1,793 Sq. Ft. / Condo",Upper West Side,Manhattan
Lexington Avenue,2950,1 Bed / 1 Bath / 780 Sq. Ft. / Condo,East Harlem,Manhattan
9TH Avenue,3150,2 Beds / 1 Bath / Rental,Midtown West,Manhattan
Central Park West,16500,"2 Beds / 2 Baths / 1,767 Sq. Ft. / Condo",Upper West Side,Manhattan
2304 Adam Clayton Powell Boulevar...,2271,3 Beds / 1 Bath / Rental,Harlem,Manhattan
"522 West 29th Street, Apt. MAIS",16500,"3 Beds / 3 Baths / 2,657 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
2ND Avenue,4000,3 Beds / 1 Bath / Rental,Upper East Side,Manhattan
East 1st Street,5961,1 Bed / 1 Bath / 721 Sq. Ft. / Rental,East Village,Manhattan
East 14th Street,3500,1 Bed / 1 Bath / 725 Sq. Ft. / Co-op,Flatiron,Manhattan
2484 Adam Clayton Powell Jr Boule...,2194,2 Beds / 1 Bath / Rental,Harlem,Manhattan
Adam Clayton Powell Jr Boulevard,2580,3 Beds / 1 Bath / Rental,Harlem,Manhattan
West 141st Street,2795,2 Beds / 1 Bath / Rental,Harlem,Manhattan
West 16th Street,2550,Studio / 1 Bath / Rental,Flatiron,Manhattan
West 53rd Street,9950,"1 Bed / 1 Bath / 1,194 Sq. Ft. / Condo",Midtown West,Manhattan
"22 East 1st Street, Apt. 305",5755,1 Bed / 1 Bath / 723 Sq. Ft. / Rental,East Village,Manhattan
West 161st Street,1971,2 Units / 3 Floors / Multi-Family Townhouse,Washington Heights,Manhattan
"252 South Street, Apt. 42J",5100,1 Bed / 1 Bath / 693 Sq. Ft. / Condo,Chinatown,Manhattan
United Nations Plaza,10500,"2 Beds / 2 Baths / 1,636 Sq. Ft. / Condo",Midtown East,Manhattan
West 65th Street,3000,Studio / 1 Bath / Rental,Upper West Side,Manhattan
East 34th Street,3495,1 Bed / 1 Bath / Rental,Murray Hill,Manhattan
"153 East 57th Street, Apt. 2-K",2600,Studio / 1 Bath / Co-op,Midtown East,Manhattan
"322 West 57th Street, Apt. 33C",4800,1 Bed / 1 Bath / 760 Sq. Ft. / Condo,Midtown West,Manhattan
West 111th Street,5750,3 Beds / 2 Baths / Rental,Morningside Heights,Manhattan
"11 East 36th Street, Apt. PH1201",10000,"3 Beds / 2 Baths / 1,750 Sq. Ft. / Condo",Murray Hill,Manhattan
West 74th Street,3900,1 Bed / 1 Bath / 795 Sq. Ft. / Condo,Upper West Side,Manhattan
East 38th Street,2500,Studio / 1 Bath / 450 Sq. Ft. / Condo,Murray Hill,Manhattan
West 54th Street,5950,"2 Beds / 2 Baths / 1,237 Sq. Ft. / Condo",Midtown West,Manhattan
East 21st Street,5500,"1 Bed / 1 Bath / 1,000 Sq. Ft. / Rental",Flatiron,Manhattan
Second Avenue,3300,2 Beds / 2 Baths / Rental,Midtown East,Manhattan
Thompson Street,3900,1 Bed / 1 Bath / Rental,Soho/Nolita,Manhattan
West 107th Street,3850,3 Beds / 2 Baths / Rental,Upper West Side,Manhattan
West 121st Street,2995,"2 Beds / 1 Bath / 1,000 Sq. Ft. / Rental",Harlem,Manhattan
Rector Place,3495,1 Bed / 1 Bath / 710 Sq. Ft. / Condo,Battery Park City,Manhattan
East 81st Street,3995,3 Beds / 2 Baths / Rental,Upper East Side,Manhattan
Hubert Street,5995,2 Beds / 1 Bath / Mixed Use Townhouse,Tribeca,Manhattan
United Nations Plaza,28000,"3 Beds / 3 Baths / 3,004 Sq. Ft. / Condo",Midtown East,Manhattan
Mott Street,4200,3 Beds / 1 Bath / Rental,Soho/Nolita,Manhattan
West 42nd Street,5850,2 Beds / 2 Baths / 947 Sq. Ft. / Condo,Clinton,Manhattan
East 29th Street,6585,2 Beds / 2 Baths / Rental,Flatiron,Manhattan
Hester Street,4200,2 Beds / 2 Baths / Rental,Lower East Side,Manhattan
Second Avenue,2075,Studio / 1 Bath / Rental,Upper East Side,Manhattan
East 85th Street,2200,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
West 66th Street,5300,1 Bed / 1 Bath / 840 Sq. Ft. / Condo,Upper West Side,Manhattan
"40 West 55th Street, Apt. 7D",5000,"2 Beds / 2 Baths / 1,070 Sq. Ft. / Condo",Midtown West,Manhattan
Central Park West,11500,2 Beds / 2 Baths / Rental,Upper West Side,Manhattan
East 80th Street,2800,Studio / 1 Bath / 600 Sq. Ft. / Co-op,Upper East Side,Manhattan
"212 East 88th Street, Apt. 1C",2800,1 Bed / 1 Bath / 600 Sq. Ft. / Co-op,Upper East Side,Manhattan
East 86th Street,2750,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
East 86th Street,2700,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
East 43rd Street,1995,Studio / 1 Bath / Rental,Midtown East,Manhattan
West End Avenue,3495,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
"515 Park Avenue, Apt. 12FLR",45000,"5 Beds / 5 Baths / 5,000 Sq. Ft. / Condo",Upper East Side,Manhattan
West 56th Street,3795,2 Beds / 1 Bath / Rental,Midtown West,Manhattan
Mott Street,4350,1 Bed / 1 Bath / Rental,Soho/Nolita,Manhattan
"246 West 108th Street, Apt. 2E",5000,"4 Beds / 1 Bath / 1,200 Sq. Ft. / Rental",Upper West Side,Manhattan
West 83rd Street,3950,3 Beds / 1 Bath / Rental,Upper West Side,Manhattan
East 109th Street,2400,1 Bed / 1 Bath / 645 Sq. Ft. / Condo,East Harlem,Manhattan
West 73rd Street,4200,"10 Units / 6 Floors / 1,100 Sq. Ft. / Multi-Family Townhouse",Upper West Side,Manhattan
"321 East 48th Street, Apt. 4G",2446,Studio / 1 Bath / 517 Sq. Ft. / Condo,Midtown East,Manhattan
West 83rd Street,3250,1 Bed / 1 Bath / 890 Sq. Ft. / Co-op,Upper West Side,Manhattan
Ludlow Street,3295,2 Beds / 1 Bath / Rental,Lower East Side,Manhattan
"1 Central Park South, Apt. 1302",6000,Studio / 1 Bath / Condo,Central Park South,Manhattan
East 63rd Street,3455,Studio / 1 Bath / Rental,Upper East Side,Manhattan
East 46th Street,5200,3 Beds / 1 Bath / Rental,Midtown East,Manhattan
East 46th Street,5200,3 Beds / 1 Bath / Rental,Midtown East,Manhattan
East 63rd Street,2350,Studio / 1 Bath / Rental,Upper East Side,Manhattan
East 77th Street,12900,"2 Beds / 2 Baths / 1,800 Sq. Ft. / Condo",Upper East Side,Manhattan
East 86th Street,10000,3 Beds / 2 Baths / Rental,Upper East Side,Manhattan
"31 Jane Street, Apt. 11E",3200,Studio / 1 Bath / 450 Sq. Ft. / Co-op,West Village,Manhattan
ESSEX Street,3450,2 Beds / 1 Bath / Rental,Lower East Side,Manhattan
"246 West 108th Street, Apt. 5E",5000,"4 Beds / 1 Bath / 1,200 Sq. Ft. / Rental",Upper West Side,Manhattan
Broadway,1850,Studio / 1 Bath / 17 Sq. Ft. / Rental,Harlem,Manhattan
West 55th Street,4395,1 Bed / 1 Bath / Rental,Midtown West,Manhattan
West 55th Street,4195,1 Bed / 1 Bath / Rental,Midtown West,Manhattan
"30 West Street, Apt. 27D",4495,1 Bed / 1 Bath / 875 Sq. Ft. / Condo,Battery Park City,Manhattan
"122 CHRISTOPHER Street, Apt. 13",3688,1 Bed / 1 Bath / Rental,West Village,Manhattan
Central Park West,2250,30 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
Thompson Street,4125,2 Beds / 1 Bath / Rental,Soho/Nolita,Manhattan
5th Avenue,11000,"3 Beds / 3 Baths / 2,032 Sq. Ft. / Condo",Upper East Side,Manhattan
East 16th Street,8500,"2 Beds / 2 Baths / 1,441 Sq. Ft. / Condo",Gramercy,Manhattan
East 25th Street,3000,Studio / 1 Bath / 556 Sq. Ft. / Condo/Co-op,empty neighborhood,Manhattan
West 92nd Street,2994,1 Bed / 1 Bath / 650 Sq. Ft. / Co-op,Upper West Side,Manhattan
West 56th Street,5250,1 Bed / 1 Bath / 811 Sq. Ft. / Condo,Midtown West,Manhattan
West 147th Street,3700,2 Units / 3 Floors / Multi-Family Townhouse,Hamilton Heights,Manhattan
"246 West 108th Street, Apt. 4E",5500,"4 Beds / 2 Baths / 1,200 Sq. Ft. / Rental",Upper West Side,Manhattan
East 61st Street,2450,Studio / 1 Bath / Rental,Upper East Side,Manhattan
West 56th Street,2525,Studio / 1 Bath / 500 Sq. Ft. / Rental,Midtown West,Manhattan
East 85th Street,6495,"2 Beds / 2 Baths / 1,094 Sq. Ft. / Condo",Upper East Side,Manhattan
East 30th Street,3195,1 Bed / 1 Bath / Rental,Murray Hill,Manhattan
East 57th Street,12995,"4 Beds / 3 Baths / 3,400 Sq. Ft. / Co-op",Sutton Area,Manhattan
"501 West 30th Street, Apt. 32D",12500,"2 Beds / 2 Baths / 1,567 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
"246 West 108th Street, Apt. 3E",5500,"4 Beds / 2 Baths / 1,200 Sq. Ft. / Rental",Upper West Side,Manhattan
West 71st Street,5850,"2 Beds / 2 Baths / 1,100 Sq. Ft. / Rental",Upper West Side,Manhattan
West 20th Street,4550,1 Bed / 1 Bath / 700 Sq. Ft. / Rental,Chelsea/Hudson Yards,Manhattan
Beekman Street,4650,1 Bed / 1 Bath / 703 Sq. Ft. / Condo,Financial District,Manhattan
"10 East 128th Street, Apt. 2B",2800,6 Units / 3 Floors / Multi-Family Townhouse,Harlem,Manhattan
West 107th Street,3942,3 Beds / 1 Bath / Rental,Upper West Side,Manhattan
West 20th Street,3050,2 Beds / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
West 138th Street,1800,7 Units / 4 Floors / 550 Sq. Ft. / Multi-Family Townhouse,Hamilton Heights,Manhattan
West 139th Street,3500,4 Beds / 1 Bath / Rental,Harlem,Manhattan
East 48th Street,3000,2 Beds / 1 Bath / 850 Sq. Ft. / Rental,Midtown East,Manhattan
East 80th Street,2895,2 Beds / 1 Bath / Rental,Upper East Side,Manhattan
East 80th Street,1700,Studio / 1 Bath / Rental,Upper East Side,Manhattan
"516 West 159th Street, Apt. 17",2850,3 Beds / 1 Bath / Rental,Washington Heights,Manhattan
"10 East 128th Street, Apt. 3",4000,6 Units / 3 Floors / Multi-Family Townhouse,Harlem,Manhattan
Washington Street,4650,1 Bed / 1 Bath / 799 Sq. Ft. / Condo,Financial District,Manhattan
West 50th Street,2000,15 Units / 4 Floors / Multi-Family Townhouse,Chelsea/Hudson Yards,Manhattan
Water Street,3295,Studio / 1 Bath / 600 Sq. Ft. / Condo,Financial District,Manhattan
"8 Spruce Street, Apt. 9T",4475,1 Bed / 1 Bath / 850 Sq. Ft. / Rental,Financial District,Manhattan
Central Park South,9295,"2 Beds / 2 Baths / 1,450 Sq. Ft. / Condo",Central Park South,Manhattan
Broome Street,3300,2 Beds / 1 Bath / Rental,Soho/Nolita,Manhattan
East 29th Street,4515,1 Bed / 1 Bath / 553 Sq. Ft. / Rental,Flatiron,Manhattan
"777 Sixth Avenue, Apt. 21H",5495,1 Bed / 1 Bath / 715 Sq. Ft. / Rental,Chelsea/Hudson Yards,Manhattan
First Avenue,1925,Studio / 1 Bath / Rental,East Village,Manhattan
First Avenue,1925,Studio / 1 Bath / Rental,East Village,Manhattan
Rivington Street,2875,2 Beds / 1 Bath / 554 Sq. Ft. / Condo,Lower East Side,Manhattan
River Road,5750,4 Beds / 2 Baths / Rental,Roosevelt Island,Manhattan
East 51st Street,2875,Studio / 1 Bath / Rental,Midtown East,Manhattan
Riverside Drive,7500,"1 Bed / 1 Bath / 3,500 Sq. Ft. / Co-op",Washington Heights,Manhattan
West 51st Street,3800,1 Bed / 1 Bath / 650 Sq. Ft. / Condo,Midtown West,Manhattan
West 15th Street,13495,"3 Beds / 2 Baths / 1,769 Sq. Ft. / Condo",Flatiron,Manhattan
West 99th Street,4390,3 Beds / 1 Bath / Rental,Upper West Side,Manhattan
Fort Washington Avenue,1700,Studio / 1 Bath / Rental,Washington Heights,Manhattan
East 46th Street,3450,1 Bed / 1 Bath / 800 Sq. Ft. / Condo/Co-op,Midtown East,Manhattan
West 77th Street,3995,Studio / 1 Bath / Rental,Upper West Side,Manhattan
Pine Street,3460,Studio / 1 Bath / Condo,Financial District,Manhattan
West 51st Street,4000,1 Bed / 1 Bath / 623 Sq. Ft. / Condo,Midtown West,Manhattan
East 91ST Street,3870,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
