,Address,Price,Boro,Bed,Bath,Rental,Agency,Neighborhood
215,"2147 Second Avenue, Apt. 2A",2800,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,East Harlem
216,"7 West 92nd Street, Apt. 2B",2200,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Upper West Side
219,"330 East 70th Street, Apt. 3K",2300,Manhattan,Studio, 1 Bath , 400 Sq. Ft. / Co-op,Corcoran,Upper East Side
220,"285 Lafayette Street, Apt. PHA",35000,Manhattan,4 Beds, 3 Baths ," 2,890 Sq. Ft. / Condo",Corcoran,Soho
220,"285 Lafayette Street, Apt. PHA",35000,Manhattan,4 Beds, 3 Baths ," 2,890 Sq. Ft. / Condo",Corcoran,Nolita
221,"200 East 61st Street, Apt. 5FG",13000,Manhattan,3 Beds, 3 Baths ," 2,124 Sq. Ft. / Condo",Corcoran,Upper East Side
222,"1045 Park Avenue, Apt. 7AB",30000,Manhattan,4 Beds, 4 Baths , Co-op,Corcoran,Carnegie Hill
223,"80 Riverside Boulevard, Apt. 7C",10000,Manhattan,3 Beds, 3 Baths , Condo,Corcoran,Upper West Side
224,"325 Fifth Avenue, Apt. 21-G",4200,Manhattan,1 Bed, 1 Bath , 816 Sq. Ft. / Condo,Corcoran,Murray Hill
225,"61 Fifth Avenue, Apt. DUPLEX 2",35000,Manhattan,3 Beds, 3 Baths ," 4,324 Sq. Ft. / Condo",Corcoran,Greenwich Village
226,"15 Union Square West, Apt. Penthouse",59500,Manhattan,3 Beds, 3 Baths ," 3,164 Sq. Ft. / Condo",Corcoran,Flatiron
227,"173 Bleecker Street, Apt. 10",2650,Manhattan,1 Bed, 1 Bath , Condo/Co-op,Corcoran,Greenwich Village
228,"225 East 46th Street, Apt. 2G",2700,Manhattan,Studio, 1 Bath , Condo,Corcoran,Midtown East
229,"251 East 13th Street, Apt. 5",4000,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,East Village
230,"186 Riverside Drive, Apt. 13B",8775,Manhattan,3 Beds, 2 Baths , Co-op,Corcoran,Upper West Side
231,"30 West 63rd Street, Apt. 14F",4250,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper West Side
233,"345 East 86th Street, Apt. 18AB",10000,Manhattan,3 Beds, 3 Baths , Co-op,Corcoran,Upper East Side
234,"161 East 81st Street, Apt. 4E",3650,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Upper East Side
235,"111 Central Park North, Apt. 11c",7700,Manhattan,2 Beds, 2 Baths ," 1,422 Sq. Ft. / Condo",Corcoran,Harlem
236,"1600 Broadway, Apt. 14G",5900,Manhattan,2 Beds, 2 Baths ," 1,145 Sq. Ft. / Condo",Corcoran,Midtown West
237,"77 East 12th Street, Apt. 5D",4295,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Greenwich Village
238,"140 West 23rd Street, Apt. 5D",2950,Manhattan,Studio, 1 Bath , 540 Sq. Ft. / Condo,Corcoran,Chelsea
238,"140 West 23rd Street, Apt. 5D",2950,Manhattan,Studio, 1 Bath , 540 Sq. Ft. / Condo,Corcoran,Hudson Yards
240,"558 West 162nd Street, Apt. 2",2850,Manhattan,1 Bed, 1 Bath , 900 Sq. Ft. / Rental,Corcoran,Washington Heights
241,"150 East 44th Street, Apt. 10B",3975,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Midtown East
242,"28 Perry Street, Apt. BW",3900,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,West Village
243,"21 East 12th Street, Apt. 15A",13500,Manhattan,2 Beds, 2 Baths ," 1,478 Sq. Ft. / Condo",Corcoran,Greenwich Village
246,"210 West 77th Street, Apt. 17",27950,Manhattan,4 Beds, 4 Baths ," 2,947 Sq. Ft. / Condo",Corcoran,Upper West Side
247,"285 West 110th Street, Apt. 6D",8995,Manhattan,3 Beds, 2 Baths ," 1,608 Sq. Ft. / Condo",Corcoran,Upper West Side
248,"91 Franklin Street, Apt. 4 FL",6000,Manhattan,1 Bed, 1 Bath ," 1,700 Sq. Ft. / Co-op",Corcoran,Tribeca
249,"160 West 66th Street, Apt. 19J",5950,Manhattan,1 Bed, 1 Bath ," 1,086 Sq. Ft. / Condo",Corcoran,Upper West Side
250,"343 East 76th Street, Apt. 2A",2395,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
251,"15 Broad Street, Apt. 1610",11500,Manhattan,3 Beds, 3 Baths ," 2,220 Sq. Ft. / Condo",Corcoran,Financial District
252,"50 Madison Avenue, Apt. 2",20000,Manhattan,3 Beds, 3 Baths ," 2,646 Sq. Ft. / Condo",Corcoran,Flatiron
253,"438 East 12th Street, Apt. PHH",20000,Manhattan,3 Beds, 2 Baths ," 1,987 Sq. Ft. / Condo",Corcoran,East Village
254,"233 East 21st Street, Apt. 23",4495,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Gramercy
255,"92 Perry Street, Apt. 19",3900,Manhattan,1 Bed, 1 Bath , 418 Sq. Ft. / Condo,Corcoran,West Village
256,"141 East 88th Street, Apt. 5G",17000,Manhattan,3 Beds, 2 Baths ," 2,090 Sq. Ft. / Condo",Corcoran,Carnegie Hill
257,"457 West 57th Street, Apt. 202",3800,Manhattan,1 Bed, 1 Bath , 800 Sq. Ft. / Co-op,Corcoran,Midtown West
258,"333 East 91st Street, Apt. 33AB",24995,Manhattan,4 Beds, 4 Baths , Condo/Co-op,Corcoran,Upper East Side
259,"410 West 24th Street, Apt. 3E",3000,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Chelsea
259,"410 West 24th Street, Apt. 3E",3000,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Hudson Yards
261,"15 Charles Street, Apt. 14E",5000,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Greenwich Village
263,"435 East 76th Street, Apt. 1D",7995,Manhattan,2 Beds, 3 Baths ," 2,040 Sq. Ft. / Condo",Corcoran,Upper East Side
264,"223 East 80th Street, Apt. PH",11995,Manhattan,2 Beds, 3 Baths ," 1,720 Sq. Ft. / Rental",Corcoran,Upper East Side
265,"155 West 70th Street, Apt. 11F",6000,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Upper West Side
266,"62 Beach Street, Apt. 2D",16000,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Tribeca
267,"100 West 58th Street, Apt. 14F",5900,Manhattan,2 Beds, 2 Baths ," 1,176 Sq. Ft. / Condo",Corcoran,Midtown West
268,"233 East 21st Street, Apt. 9",4595,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Gramercy
269,"172 Madison Avenue, Apt. 20C",6500,Manhattan,1 Bed, 1 Bath , 891 Sq. Ft. / Condo,Corcoran,empty neighborhood
270,"3 Gramercy Park West, Apt. PARLOR",20000,Manhattan,2 Beds, 2 Baths , Co-op,Corcoran,Gramercy
271,"215 West 88th Street, Apt. 12D",8600,Manhattan,3 Beds, 2 Baths ," 1,517 Sq. Ft. / Condo",Corcoran,Upper West Side
272,"154 Attorney Street, Apt. 105",6450,Manhattan,2 Beds, 1 Bath ," 1,600 Sq. Ft. / Condo",Corcoran,Lower East Side
273,"40 Mercer Street, Apt. 12",14500,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Soho
273,"40 Mercer Street, Apt. 12",14500,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Nolita
274,"233 East 21st Street, Apt. 5",4795,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Gramercy
275,"102 East 22nd Street, Apt. 1EF",6500,Manhattan,2 Beds, 2 Baths ," 1,350 Sq. Ft. / Co-op",Corcoran,Gramercy
276,"253 West 73rd Street, Apt. 10D",6500,Manhattan,2 Beds, 2 Baths ," 1,200 Sq. Ft. / Condo",Corcoran,Upper West Side
277,"4 West 21st Street, Apt. 10B",10500,Manhattan,2 Beds, 3 Baths , Condo/Co-op,Corcoran,Flatiron
278,"14 East 4th Street, Apt. 827",6950,Manhattan,1 Bed, 1 Bath ," 1,132 Sq. Ft. / Condo",Corcoran,Greenwich Village
279,"49 West 72nd Street, Apt. 6E",3150,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Upper West Side
280,"210 East 63rd Street, Apt. 6D",2800,Manhattan,1 Bed, 1 Bath , 500 Sq. Ft. / Co-op,Corcoran,Upper East Side
281,"330 East 75th Street, Apt. 27BC",12000,Manhattan,4 Beds, 4 Baths , Condo,Corcoran,Upper East Side
282,"50 West Street, Apt. 19A",8500,Manhattan,2 Beds, 2 Baths ," 1,662 Sq. Ft. / Condo",Corcoran,Financial District
283,"251 West 19th Street, Apt. 7A",12500,Manhattan,2 Beds, 2 Baths ," 1,653 Sq. Ft. / Condo",Corcoran,Chelsea
283,"251 West 19th Street, Apt. 7A",12500,Manhattan,2 Beds, 2 Baths ," 1,653 Sq. Ft. / Condo",Corcoran,Hudson Yards
284,"212 East 47th Street, Apt. 7B",3500,Manhattan,2 Beds, 1 Bath , Condo,Corcoran,Midtown East
285,"21 East 96th Street, Apt. 6FL",23500,Manhattan,4 Beds, 4 Baths ," 3,010 Sq. Ft. / Condo",Corcoran,Carnegie Hill
286,"51 Saint Nicholas Avenue, Apt. 4A",10000,Manhattan,3 Beds, 2 Baths , Condo,Corcoran,Harlem
288,"111 Wooster Street, Apt. 6B",12500,Manhattan,2 Beds, 2 Baths ," 1,910 Sq. Ft. / Condo",Corcoran,Soho
288,"111 Wooster Street, Apt. 6B",12500,Manhattan,2 Beds, 2 Baths ," 1,910 Sq. Ft. / Condo",Corcoran,Nolita
289,"558 West 162nd Street, Apt. Garden",3350,Manhattan,2 Beds, 1 Bath ," 1,600 Sq. Ft. / Rental",Corcoran,Washington Heights
290,"325 Fifth Avenue, Apt. 17E",3800,Manhattan,1 Bed, 1 Bath , 688 Sq. Ft. / Condo,Corcoran,Murray Hill
292,"225 West 60th Street, Apt. 7D",3688,Manhattan,1 Bed, 1 Bath , 612 Sq. Ft. / Condo,Corcoran,Upper West Side
293,"146 West 57th Street, Apt. 72C",8800,Manhattan,2 Beds, 2 Baths ," 1,490 Sq. Ft. / Condo",Corcoran,Midtown West
294,"106 Central Park South, Apt. 15I",6400,Manhattan,2 Beds, 2 Baths ," 1,235 Sq. Ft. / Condo",Corcoran,Central Park South
295,"252 South Street, Apt. 9J",3714,Manhattan,1 Bed, 1 Bath , 696 Sq. Ft. / Condo,Corcoran,Lower East Side
296,"136 West Broadway, Apt. PH",10995,Manhattan,1 Bed, 2 Baths ," 2,284 Sq. Ft. / Rental",Corcoran,Tribeca
297,"101 Wall Street, Apt. 14A",4300,Manhattan,1 Bed, 1 Bath , 703 Sq. Ft. / Condo,Corcoran,Financial District
298,"311 West Broadway, Apt. 6D",8750,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Soho
298,"311 West Broadway, Apt. 6D",8750,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Nolita
299,"650 West End Avenue, Apt. 10C",8400,Manhattan,3 Beds, 3 Baths , Condo,Corcoran,Upper West Side
300,"1 Central Park South, Apt. 1610",5995,Manhattan,1 Bed, 1 Bath , 849 Sq. Ft. / Condo,Corcoran,Central Park South
301,"340 East 64th Street, Apt. 19L",8700,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Upper East Side
302,"163 West 79th Street, Apt. 4F",2500,Manhattan,Studio, 1 Bath , Condo,Corcoran,Upper West Side
303,"845 United Nations Plaza, Apt. 20H",6800,Manhattan,2 Beds, 2 Baths ," 1,329 Sq. Ft. / Condo",Corcoran,Midtown East
304,"1255 Fifth Avenue, Apt. 3CDE",11900,Manhattan,4 Beds, 3 Baths ," 3,042 Sq. Ft. / Condo",Corcoran,Upper East Side
305,"2 Cornelia Street, Apt. 1004-05",18500,Manhattan,4 Beds, 3 Baths ," 2,650 Sq. Ft. / Condo",Corcoran,Greenwich Village
306,"2077 Fifth Avenue, Apt. 2B",3950,Manhattan,2 Beds, 2 Baths ," 1,125 Sq. Ft. / Condo",Corcoran,East Harlem
307,"421 Hudson Street, Apt. 618",17500,Manhattan,3 Beds, 3 Baths , Condo,Corcoran,West Village
308,"150 West 56th Street, Apt. 6302",6750,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Midtown West
309,"15 Hudson Yards, Apt. 65C",15000,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Chelsea
309,"15 Hudson Yards, Apt. 65C",15000,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Hudson Yards
310,"30 East 76th Street, Apt. 10AB",14750,Manhattan,3 Beds, 3 Baths ," 2,362 Sq. Ft. / Condo",Corcoran,Upper East Side
311,"25 Central Park West, Apt. 14K",7000,Manhattan,1 Bed, 1 Bath , 906 Sq. Ft. / Condo,Corcoran,Upper West Side
313,"305 East 85th Street, Apt. 8D",12500,Manhattan,3 Beds, 3 Baths ," 1,604 Sq. Ft. / Condo",Corcoran,Upper East Side
314,"1200 Broadway, Apt. 5C",9000,Manhattan,2 Beds, 2 Baths , Co-op,Corcoran,Flatiron
315,"30 Park Place, Apt. 61B",21500,Manhattan,3 Beds, 3 Baths ," 2,213 Sq. Ft. / Condo",Corcoran,Tribeca
316,"418 Central Park West, Apt. 24",6200,Manhattan,2 Beds, 2 Baths ," 1,078 Sq. Ft. / Condo",Corcoran,Upper West Side
317,"233 West 26th Street, Apt. 5E",8750,Manhattan,2 Beds, 2 Baths , Co-op,Corcoran,Chelsea
317,"233 West 26th Street, Apt. 5E",8750,Manhattan,2 Beds, 2 Baths , Co-op,Corcoran,Hudson Yards
318,"195 Hudson Street, Apt. 2E",11950,Manhattan,2 Beds, 2 Baths ," 1,800 Sq. Ft. / Condo",Corcoran,Tribeca
319,"445 Fifth Avenue, Apt. 29A1",4400,Manhattan,1 Bed, 1 Bath , 700 Sq. Ft. / Condo,Corcoran,Murray Hill
320,"259 Bowery, Apt. 5",12500,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Lower East Side
321,"225 West 15th Street, Apt. 1B",2200,Manhattan,Studio, 1 Bath , Rental,Corcoran,Chelsea
321,"225 West 15th Street, Apt. 1B",2200,Manhattan,Studio, 1 Bath , Rental,Corcoran,Hudson Yards
322,"415 Main Street, Apt. 15G",6000,Manhattan,3 Beds, 3 Baths , Condo,Corcoran,Roosevelt Island
323,"460 West 42nd Street, Apt. 55F",5990,Manhattan,1 Bed, 2 Baths ," 1,064 Sq. Ft. / Condo",Corcoran,Midtown West
324,"534 Hudson Street, Apt. PHB",20000,Manhattan,3 Beds, 2 Baths ," 2,365 Sq. Ft. / Condo",Corcoran,West Village
325,"40 Broad Street, Apt. 17C",3195,Manhattan,Studio, 1 Bath , 585 Sq. Ft. / Condo,Corcoran,Financial District
326,"447 West 18th Street, Apt. PH9-10A",42000,Manhattan,5 Beds, 5 Baths ," 3,950 Sq. Ft. / Condo",Corcoran,Chelsea
326,"447 West 18th Street, Apt. PH9-10A",42000,Manhattan,5 Beds, 5 Baths ," 3,950 Sq. Ft. / Condo",Corcoran,Hudson Yards
327,"200 East 66th Street, Apt. PHB2006",10000,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Upper East Side
328,"555 West 23rd Street, Apt. N3C",3400,Manhattan,Studio, 1 Bath , Condo,Corcoran,Chelsea
328,"555 West 23rd Street, Apt. N3C",3400,Manhattan,Studio, 1 Bath , Condo,Corcoran,Hudson Yards
329,119 East 38th Street,28500,Manhattan,4 Beds, 5 Baths , Rental,Corcoran,Murray Hill
331,"111 West 67th Street, Apt. 41D",8800,Manhattan,2 Beds, 2 Baths ," 1,390 Sq. Ft. / Condo",Corcoran,Upper West Side
332,"163-165 West 18th Street, Apt. 7C",8499,Manhattan,2 Beds, 2 Baths ," 1,250 Sq. Ft. / Condo",Corcoran,Chelsea
332,"163-165 West 18th Street, Apt. 7C",8499,Manhattan,2 Beds, 2 Baths ," 1,250 Sq. Ft. / Condo",Corcoran,Hudson Yards
333,"215 East 96th Street, Apt. 36A",4200,Manhattan,1 Bed, 1 Bath , 872 Sq. Ft. / Condo/Co-op,Corcoran,Upper East Side
334,"167 East 61st Street, Apt. 24B",5500,Manhattan,1 Bed, 1 Bath , 980 Sq. Ft. / Co-op,Corcoran,Upper East Side
336,"168 Fifth Avenue, Apt. 401",9200,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Flatiron
337,"350 West 50th Street, Apt. 12A",2500,Manhattan,Studio, 1 Bath , 417 Sq. Ft. / Condo,Corcoran,Clinton
339,"40 Mercer Street, Apt. 32",38000,Manhattan,3 Beds, 3 Baths , Condo,Corcoran,Soho
339,"40 Mercer Street, Apt. 32",38000,Manhattan,3 Beds, 3 Baths , Condo,Corcoran,Nolita
340,"306 West 100th Street, Apt. 55",3600,Manhattan,2 Beds, 1 Bath , Co-op,Corcoran,Upper West Side
341,"845 United Nations Plaza, Apt. 44C",16500,Manhattan,2 Beds, 3 Baths ," 2,087 Sq. Ft. / Condo",Corcoran,Midtown East
342,"455 East 86th Street, Apt. 11A",7400,Manhattan,3 Beds, 2 Baths ," 1,500 Sq. Ft. / Condo",Corcoran,Upper East Side
343,"111 Fulton Street, Apt. 817",3695,Manhattan,Studio, 1 Bath , 900 Sq. Ft. / Condo,Corcoran,Financial District
344,"123 Washington Street, Apt. PH56H",4950,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Financial District
345,"17 West 54th Street, Apt. 10C",3900,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Midtown West
348,"121 East 23rd Street, Apt. 10D",5950,Manhattan,2 Beds, 2 Baths ," 1,012 Sq. Ft. / Condo",Corcoran,Gramercy
350,"353 Central Park West, Apt. 3 FL",19950,Manhattan,4 Beds, 4 Baths ," 2,733 Sq. Ft. / Condo",Corcoran,Upper West Side
351,"56 Leonard Street, Apt. 6WEST",29000,Manhattan,3 Beds, 3 Baths ," 2,983 Sq. Ft. / Condo",Corcoran,Tribeca
354,"220 Riverside Boulevard, Apt. 5W",3250,Manhattan,Studio, 1 Bath , Condo,Corcoran,Upper West Side
355,"420 Central Park West, Apt. 5J",2980,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Upper West Side
356,"1085 Park Avenue, Apt. 11-B",20500,Manhattan,3 Beds, 3 Baths , Rental,Corcoran,Upper East Side
357,"70 West 45th Street, Apt. PH3(D)",35000,Manhattan,5 Beds, 4 Baths , Condo,Corcoran,Midtown West
358,"2628 Broadway, Apt. 34A",14500,Manhattan,3 Beds, 3 Baths ," 2,126 Sq. Ft. / Condo",Corcoran,Upper West Side
359,"106 Central Park South, Apt. 32B",8500,Manhattan,2 Beds, 2 Baths ," 1,468 Sq. Ft. / Condo",Corcoran,Central Park South
360,"60 Riverside Boulevard, Apt. 1101",18000,Manhattan,4 Beds, 4 Baths ," 2,505 Sq. Ft. / Condo",Corcoran,Upper West Side
361,"117 East 57th Street, Apt. 28B",6500,Manhattan,2 Beds, 2 Baths ," 1,400 Sq. Ft. / Condo",Corcoran,Midtown East
362,"69 Tiemann Place, Apt. 25",1995,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Morningside Heights
363,"1 Central Park South, Apt. 1807",12950,Manhattan,1 Bed, 1 Bath ," 1,390 Sq. Ft. / Condo",Corcoran,Central Park South
364,"200 East 66th Street, Apt. B18-04",8950,Manhattan,2 Beds, 2 Baths ," 1,442 Sq. Ft. / Condo",Corcoran,Upper East Side
365,"1055 Park Avenue, Apt. 1",28500,Manhattan,4 Beds, 3 Baths ," 3,212 Sq. Ft. / Condo",Corcoran,Carnegie Hill
366,"30 West Street, Apt. 28G",7150,Manhattan,2 Beds, 2 Baths ," 1,190 Sq. Ft. / Condo",Corcoran,Battery Park City
367,"10 Barclay Street, Apt. 45-C",6895,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Tribeca
368,"322 West 57th Street, Apt. 55F",7000,Manhattan,2 Beds, 2 Baths ," 1,230 Sq. Ft. / Condo",Corcoran,Midtown West
369,"520 West 28th Street, Apt. 14",18000,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Chelsea
369,"520 West 28th Street, Apt. 14",18000,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Hudson Yards
370,"301 East 63rd Street, Apt. 14E",3400,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Upper East Side
372,"250 East 54th Street, Apt. PH1",19750,Manhattan,2 Beds, 2 Baths ," 2,300 Sq. Ft. / Condo",Corcoran,Midtown East
373,"1 Central Park South, Apt. 1805",9950,Manhattan,1 Bed, 1 Bath ," 1,039 Sq. Ft. / Condo",Corcoran,Central Park South
374,"16 West 40th Street, Apt. 26A",12995,Manhattan,2 Beds, 2 Baths ," 1,650 Sq. Ft. / Condo",Corcoran,Midtown West
377,"252 South Street, Apt. 8B",3950,Manhattan,1 Bed, 1 Bath , 696 Sq. Ft. / Condo,Corcoran,Lower East Side
381,"520 West 28th Street, Apt. 30",15000,Manhattan,2 Beds, 2 Baths ," 1,717 Sq. Ft. / Condo",Corcoran,Chelsea
381,"520 West 28th Street, Apt. 30",15000,Manhattan,2 Beds, 2 Baths ," 1,717 Sq. Ft. / Condo",Corcoran,Hudson Yards
382,"102 Prince Street, Apt. 5",50000,Manhattan,2 Beds, 2 Baths ," 4,380 Sq. Ft. / Condo",Corcoran,Soho
382,"102 Prince Street, Apt. 5",50000,Manhattan,2 Beds, 2 Baths ," 4,380 Sq. Ft. / Condo",Corcoran,Nolita
383,"1600 Broadway, Apt. 16F",3500,Manhattan,Studio, 1 Bath , Condo,Corcoran,Midtown West
384,"340 East 64th Street, Apt. PHBC",17500,Manhattan,4 Beds, 5 Baths , Condo,Corcoran,Upper East Side
385,"210 West 77th Street, Apt. 10E",16995,Manhattan,3 Beds, 3 Baths ," 2,082 Sq. Ft. / Condo",Corcoran,Upper West Side
386,"220 Central Park South, Apt. 40A",59000,Manhattan,3 Beds, 3 Baths ," 3,114 Sq. Ft. / Condo",Corcoran,Central Park South
388,"111 West 67th Street, Apt. 42A",24900,Manhattan,3 Beds, 5 Baths ," 3,405 Sq. Ft. / Condo",Corcoran,Upper West Side
391,"400 East 59th Street, Apt. 3F",8000,Manhattan,2 Beds, 2 Baths ," 1,100 Sq. Ft. / Co-op",Corcoran,Upper East Side
392,"240 Riverside Boulevard, Apt. PH-...",68000,Manhattan,3 Beds, 4 Baths ," 4,673 Sq. Ft. / Condo",Corcoran,Upper West Side
393,"200 Central Park South, Apt. 23B",11000,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Central Park South
394,"10 Barclay Street, Apt. 17-A",4495,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Tribeca
395,"310 Greenwich Street, Apt. 24-K",5295,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Tribeca
396,"201 East 87th Street, Apt. 15D",4850,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
397,"530 Laguardia Place, Apt. 2",19500,Manhattan,3 Beds, 3 Baths , Co-op,Corcoran,Greenwich Village
398,"459 West 18th Street, Apt. CML",11900,Manhattan,Studio, 1 Bath ," 2,100 Sq. Ft. / Condo",Corcoran,Chelsea
398,"459 West 18th Street, Apt. CML",11900,Manhattan,Studio, 1 Bath ," 2,100 Sq. Ft. / Condo",Corcoran,Hudson Yards
399,"88 Leonard Street, Apt. 419",5950,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Tribeca
400,"150 West 56th Street, Apt. 3310",4050,Manhattan,1 Bed, 1 Bath , 865 Sq. Ft. / Condo,Corcoran,Midtown West
401,"200 East 62nd Street, Apt. GF",13933,Manhattan,Studio, 3 Baths ," 1,672 Sq. Ft. / Condo",Corcoran,Upper East Side
406,"160 Central Park South, Apt. 1608",5700,Manhattan,Studio, 1 Bath , Condo,Corcoran,Central Park South
408,"215 West 109th Street, Apt. 1-E",2250,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Morningside Heights
409,"444 East 58th Street, Apt. 3D",3600,Manhattan,2 Beds, 1 Bath , Co-op,Corcoran,Sutton Area
410,"212 Warren Street, Apt. 18F",27500,Manhattan,5 Beds, 4 Baths ," 3,346 Sq. Ft. / Condo",Corcoran,Battery Park City
412,"40 Broad Street, Apt. PH4C",14500,Manhattan,3 Beds, 3 Baths ," 2,440 Sq. Ft. / Condo",Corcoran,Financial District
413,"23 East 22nd Street, Apt. 16 FL",25000,Manhattan,3 Beds, 3 Baths ," 2,723 Sq. Ft. / Condo",Corcoran,Flatiron
414,"322 West 57th Street, Apt. 42PU",4000,Manhattan,Studio, 1 Bath , Condo,Corcoran,Midtown West
418,"99 Avenue B, Apt. 1B",3500,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,East Village
424,"265 East 66th Street, Apt. 17C",8600,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Upper East Side
426,"165 East 66th Street, Apt. 8-H",4250,Manhattan,1 Bed, 1 Bath , 776 Sq. Ft. / Rental,Corcoran,Upper East Side
427,"15 West 63rd Street, Apt. 24B",29500,Manhattan,4 Beds, 4 Baths ," 2,909 Sq. Ft. / Condo",Corcoran,Upper West Side
428,"1775 York Avenue, Apt. 6B",6195,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Upper East Side
429,"220 East 72nd Street, Apt. PH-C",6000,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
430,"210 East 68th Street, Apt. 16-G",6250,Manhattan,2 Beds, 1 Bath ," 1,151 Sq. Ft. / Rental",Corcoran,Upper East Side
436,"55 Thompson Street, Apt. 701",12750,Manhattan,2 Beds, 2 Baths ," 1,800 Sq. Ft. / Rental",Corcoran,Soho
436,"55 Thompson Street, Apt. 701",12750,Manhattan,2 Beds, 2 Baths ," 1,800 Sq. Ft. / Rental",Corcoran,Nolita
437,"400 East 57th Street, Apt. 16-C",6045,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Sutton Area
438,"333 East 56th Street, Apt. 4E",5195,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Sutton Area
439,"420 East 54th Street, Apt. 604",5080,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Sutton Area
440,"300 East 57th Street, Apt. 14D",5850,Manhattan,2 Beds, 2 Baths ," 1,125 Sq. Ft. / Rental",Corcoran,Sutton Area
441,"300 East 56th Street, Apt. 29-F",7787,Manhattan,3 Beds, 2 Baths , Rental,Corcoran,Sutton Area
442,"150 East 57th Street, Apt. PH-B1",7750,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Midtown East
443,"50 Murray Street, Apt. 1117",7950,Manhattan,2 Beds, 2 Baths ," 1,350 Sq. Ft. / Rental",Corcoran,Tribeca
444,"88 Leonard Street, Apt. 1118",6250,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Tribeca
446,"845 United Nations Plaza, Apt. 34DE",16900,Manhattan,4 Beds, 5 Baths ," 3,091 Sq. Ft. / Condo",Corcoran,Midtown East
447,"795 Fifth Avenue, Apt. 16",37000,Manhattan,2 Beds, 2 Baths ," 1,368 Sq. Ft. / Co-op",Corcoran,Upper East Side
448,"988 Fifth Avenue, Apt. PENTHOUSE",100000,Manhattan,3 Beds, 3 Baths ," 5,500 Sq. Ft. / Condo",Corcoran,Upper East Side
449,"460 West 20th Street, Apt. 5-F",6150,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Chelsea
449,"460 West 20th Street, Apt. 5-F",6150,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Hudson Yards
450,"160 West 24th Street, Apt. 2-E",5459,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Chelsea
450,"160 West 24th Street, Apt. 2-E",5459,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Hudson Yards
451,"77 West 24th Street, Apt. 6K",5995,Manhattan,1 Bed, 1 Bath ," 1,000 Sq. Ft. / Rental",Corcoran,Chelsea
