"44-72 11th Street, Apt. A-401",3175,1 Bed / 1 Bath / Rental,Long Island City,Queens
28th Avenue,2295,2 Beds / 1 Bath / Condo,Astoria,Queens
"25-40 32nd Street, Apt. 2",2850,3 Beds / 1 Bath / House,Astoria,Queens
31st Drive,1950,1 Bed / 1 Bath / Rental,Astoria,Queens
"14-05 31st Avenue, Apt. 4A",1800,1 Bed / 1 Bath / 520 Sq. Ft. / Rental,Astoria,Queens
24th Street,3196,1 Bed / 1 Bath / Rental,Long Island City,Queens
"42-37 27th Street, Apt. 8A",2595,Studio / 1 Bath / 580 Sq. Ft. / Condo,Long Island City,Queens
"25-21 43rd Avenue, Apt. 206",3200,1 Bed / 1 Bath / 740 Sq. Ft. / Condo/Co-op,Long Island City,Queens
12th Street,3000,2 Beds / 2 Baths / 850 Sq. Ft. / Rental,Long Island City,Queens
"1885 DeKalb Avenue, Apt. 2",2000,2 Units / 3 Floors / Multi-Family Townhouse,Ridgewood,Queens
44th Street,3350,3 Beds / 1 Bath / Rental,Astoria,Queens
47th Avenue,3250,1 Bed / 1 Bath / 598 Sq. Ft. / Rental,Long Island City,Queens
"5-11 47th Avenue, Apt. 6Y",2885,Studio / 1 Bath / 532 Sq. Ft. / Rental,Long Island City,Queens
"155-01 90th Avenue, Apt. M",1600,Studio / 1 Bath / 650 Sq. Ft. / Co-op,Jamaica,Queens
42nd Road,2365,Studio / 1 Bath / Condo,Long Island City,Queens
27th Street,2300,1 Bed / 1 Bath / 555 Sq. Ft. / Rental,Astoria,Queens
27th Street,2800,2 Beds / 1 Bath / 737 Sq. Ft. / Rental,Astoria,Queens
"41-22 24th Street, Apt. 6G",3146,1 Bed / 1 Bath / Rental,Long Island City,Queens
"5-09 48th Avenue, Apt. 7B",3850,1 Bed / 1 Bath / 775 Sq. Ft. / Condo,Long Island City,Queens
41st Street,3300,3 Beds / 1 Bath / House,Sunnyside,Queens
23rd Street,2250,Studio / 1 Bath / Rental,Astoria,Queens
"156-21 79TH Street, Apt. 2",1800,2 Beds / 1 Bath / 750 Sq. Ft. / Rental,Howard Beach,Queens
"40-28 College Pt Boulevard, Apt. 806",3100,"2 Beds / 2 Baths / 1,417 Sq. Ft. / Condo/Co-op",Flushing,Queens
75TH Street,2000,2 Beds / 1 Bath / Co-op,Jackson Heights,Queens
Crescent Street,1975,1 Bed / 1 Bath / Rental,Astoria,Queens
