,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
9733,"489 Washington Avenue, Unit 1A",Clinton Hill,4200,3 BD,1 BA,Brooklyn,Compass
9734,"471 Van Siclen Avenue, Unit 2",New Lots,2600,4 BD,1 BA,Brooklyn,Compass
9735,"11 Maple Street, Unit C5",Prospect Lefferts Gardens,3000,3 BD,2 BA,Brooklyn,Compass
9736,"1801 Dorchester Road, Unit 6H",Ditmas Park,2700,1 BD,1 BA,Brooklyn,Compass
9737,"1430 Putnam Avenue, Unit 3L",Bushwick,2525,3 BD,1 BA,Brooklyn,Compass
9738,"2288 Atlantic Avenue, Unit 5A",Crown Heights,2245,2 BD,1 BA,Brooklyn,Compass
9739,"1045 Sterling, Unit 1C",Crown Heights,2750,2 BD,1.5 BA,Brooklyn,Compass
9740,"21 India Street, Unit T1703",Greenpoint,3883,1 BD,1 BA,Brooklyn,Compass
9741,"382 Lefferts Avenue, Unit 6A",Prospect Lefferts Gardens,2900,2 BD,1 BA,Brooklyn,Compass
9742,"382 Lefferts Avenue, Unit 4D",Prospect Lefferts Gardens,2250,1 BD,1 BA,Brooklyn,Compass
9743,"417 Menahan Street, Unit 2L",Bushwick,1900,1 BD,1 BA,Brooklyn,Compass
9744,"50 Ocean Parkway, Unit 4C",Windsor Terrace,2500,1 BD,1 BA,Brooklyn,Compass
9745,"1675 79th Street, Unit 2",Bensonhurst,2000,2 BD,1 BA,Brooklyn,Compass
9746,"300 Ocean Parkway, Unit 6K",Kensington,1985,1 BD,1 BA,Brooklyn,Compass
9747,"195 Driggs Avenue, Unit 5B",Greenpoint,2100,2 BD,1 BA,Brooklyn,Compass
9748,"1535 East 14th Street, Unit 4C",Midwood,2425,2 BD,1 BA,Brooklyn,Compass
9749,"1535 East 14th Street, Unit 1F",Midwood,2425,1 BD,1 BA,Brooklyn,Compass
9750,"63 Malcolm X Boulevard, Unit 2A",Bedford-Stuyvesant,2300,3 BD,1.5 BA,Brooklyn,Compass
9751,"341 10th Street, Unit 11A",South Slope,4295,3 BD,2 BA,Brooklyn,Compass
9752,"440 Nostrand Avenue, Unit 2",Bedford-Stuyvesant,2383,1 BD,1 BA,Brooklyn,Compass
9753,"912 Gates Avenue, Unit 1F",Bedford-Stuyvesant,2075,2 BD,1 BA,Brooklyn,Compass
9754,"228 Kings Highway, Unit 2",Gravesend,2100,3 BD,1 BA,Brooklyn,Compass
9755,"289 Powell Street, Unit 3",Brownsville,2300,3 BD,2 BA,Brooklyn,Compass
9756,"157 Miller Avenue, Unit 1R",Highland Park,1900,2 BD,2 BA,Brooklyn,Compass
9757,"439 78th Street, Unit 3F",Bay Ridge,2000,2 BD,1 BA,Brooklyn,Compass
9758,"378 Hooper Street, Unit 1R",East Williamsburg,2300,1 BD,1 BA,Brooklyn,Compass
9759,"142 South 9th Street, Unit B3",Williamsburg,2300,1 BD,1 BA,Brooklyn,Compass
9760,"142 South 9th Street, Unit A3",Williamsburg,3300,3 BD,1 BA,Brooklyn,Compass
9761,"323 East A 89th Street, Unit 5W",Bay Ridge,2900,3 BD,1 BA,Brooklyn,Compass
9762,"1934 82nd, Unit 2",Van Pelt Manor,1750,2 BD,1 BA,Brooklyn,Compass
9763,"400 Rugby Road, Unit 4C",Ditmas Park,2650,1 BD,1 BA,Brooklyn,Compass
9764,"1417 70th Street, Unit 1R",Bensonhurst,1800,2 BD,1 BA,Brooklyn,Compass
9765,"291 New York Avenue, Unit 1F",Crown Heights,3400,3 BD,1 BA,Brooklyn,Compass
9767,"143 Skillman Avenue, Unit 3A",Williamsburg,2850,1 BD,1 BA,Brooklyn,Compass
9768,"1869 East 2nd, Unit 1",Kings Club District,2400,2 BD,1 BA,Brooklyn,Compass
9769,"507 Myrtle Avenue, Unit 3R",Clinton Hill,3700,3 BD,2 BA,Brooklyn,Compass
9770,"729 Knickerbocker Avenue, Unit 3B",Bushwick,2550,3 BD,1 BA,Brooklyn,Compass
9771,"1233 Fulton Street, Unit 0",Bedford-Stuyvesant,6500,Studio,1 BA,Brooklyn,Compass
9772,"592 East 22nd Street, Unit 1H",Ditmas Park,1600,1 BD,1 BA,Brooklyn,Compass
9773,"2537 Church Avenue, Unit 1R",Flatbush,2000,1 BD,1 BA,Brooklyn,Compass
9774,184 Eagle Street,Griffin Farm,5000,Studio,1.5 BA,Brooklyn,Compass
9775,573 East 22nd Street,Ditmas Park,3300,4 BD,1.5 BA,Brooklyn,Compass
9776,"421 Rogers Avenue, Unit 1C",Prospect Lefferts Gardens,1850,1 BD,1 BA,Brooklyn,Compass
9777,"222-b Hoyt Street, Unit B",Boerum Hill,1800,Studio,1.5 BA,Brooklyn,Compass
9778,"507 Myrtle Avenue, Unit 2R",Clinton Hill,3700,3 BD,2 BA,Brooklyn,Compass
9779,"1519 Dean Street, Unit 4",Crown Heights,2600,3 BD,1 BA,Brooklyn,Compass
9780,"925 East 14th Street, Unit 5K",Midwood,1775,2 BD,1 BA,Brooklyn,Compass
9781,"113 Greenpoint Avenue, Unit A1",Greenpoint,4000,2 BD,1.5 BA,Brooklyn,Compass
9782,"3348 Shore Parkway, Unit 2",Sheepshead Bay,3000,3 BD,3 BA,Brooklyn,Compass
9783,"3348 Shore Parkway, Unit 1",Sheepshead Bay,2800,3 BD,3 BA,Brooklyn,Compass
9784,"1140 St Johns Place, Unit 17",Crown Heights,2525,1 BD,1 BA,Brooklyn,Compass
9785,"1140 St Johns Place, Unit 7",Crown Heights,2385,3 BD,1 BA,Brooklyn,Compass
9786,"351 Howard Avenue, Unit 8",Crown Heights,1800,2 BD,1 BA,Brooklyn,Compass
9787,"351 Howard Avenue, Unit 10",Crown Heights,1600,1 BD,1 BA,Brooklyn,Compass
9788,"1024 Halsey Street, Unit 2L",Bushwick,4000,4 BD,1 BA,Brooklyn,Compass
9789,"1140 St Johns Place, Unit 8",Crown Heights,1850,1 BD,1 BA,Brooklyn,Compass
9790,"351 Howard Avenue, Unit 1",Crown Heights,1800,1 BD,1 BA,Brooklyn,Compass
9791,"360 Franklin Avenue, Unit 1R",Clinton Hill,3900,4 BD,1 BA,Brooklyn,Compass
9792,"140 Lexington Avenue, Unit 15",Clinton Hill,2400,2 BD,1 BA,Brooklyn,Compass
9793,"360 Franklin Avenue, Unit 1L",Clinton Hill,3900,4 BD,1 BA,Brooklyn,Compass
9794,"677 Lincoln Place, Unit 1A",Crown Heights,2300,1 BD,1 BA,Brooklyn,Compass
9795,"1738 Pacific Street, Unit 4B",Weeksville,2350,2 BD,1 BA,Brooklyn,Compass
9796,"1643 Pacific Street, Unit 3",Crown Heights,1750,2 BD,1.5 BA,Brooklyn,Compass
9797,"89 Grattan Street, Unit 2B",Williamsburg,3250,3 BD,1 BA,Brooklyn,Compass
9798,"22 North 6th Street, Unit 3L",Williamsburg,5495,2 BD,2 BA,Brooklyn,Compass
9799,"37 Blue, Unit 7P",Greenpoint,3411,1 BD,1 BA,Brooklyn,Compass
9800,"205 30th Street, Unit 4",Greenwood Heights,1799,1 BD,1 BA,Brooklyn,Compass
9801,"1488 De Kalb Avenue, Unit 1R",Bushwick,2550,2 BD,1 BA,Brooklyn,Compass
9802,"80 Metropolitan Avenue, Unit 2S",Williamsburg,5300,2 BD,2 BA,Brooklyn,Compass
9803,"38 Grove Street, Unit 2",Bushwick,3999,3 BD,2 BA,Brooklyn,Compass
9804,"470 Warren Street, Unit 2",Boerum Hill,3800,2 BD,2 BA,Brooklyn,Compass
9805,"105 4th Avenue, Unit 3L",North Slope,2800,2 BD,1 BA,Brooklyn,Compass
9806,"335 61st Street, Unit 2",Sunset Park,1900,2 BD,1 BA,Brooklyn,Compass
9807,"409 Eastern Parkway, Unit 202",Crown Heights,3404,1 BD,1 BA,Brooklyn,Compass
9809,"7409 3rd Avenue, Unit 3",Bay Ridge,2350,3 BD,2 BA,Brooklyn,Compass
9810,"50 Macdonough Street, Unit 8",Bedford-Stuyvesant,5667,5 BD,3 BA,Brooklyn,Compass
9811,"519 Madison Street, Unit 2",Bedford-Stuyvesant,2100,2 BD,1 BA,Brooklyn,Compass
9812,"139 South 1st Street, Unit 1",Williamsburg,2950,1 BD,1 BA,Brooklyn,Compass
9813,39 Conselyea Street,Williamsburg,3600,2 BD,1 BA,Brooklyn,Compass
9814,"201-205 Huron Street, Unit 1R",Greenpoint,2700,1 BD,1 BA,Brooklyn,Compass
9815,"50 Macdonough Street, Unit 4",Bedford-Stuyvesant,5000,4 BD,3 BA,Brooklyn,Compass
9816,"409 Eastern Parkway, Unit 316",Crown Heights,2995,1 BD,1 BA,Brooklyn,Compass
9817,"504 Myrtle Avenue, Unit 5T",Clinton Hill,3100,1 BD,1 BA,Brooklyn,Compass
9818,"101 Ocean Parkway, Unit 3C",Windsor Terrace,3600,3 BD,2 BA,Brooklyn,Compass
9819,"14 Kosciuszko Street, Unit TOP",Bedford-Stuyvesant,2600,2 BD,1 BA,Brooklyn,Compass
9820,"504 Myrtle Avenue, Unit 8B",Clinton Hill,2700,Studio,1 BA,Brooklyn,Compass
9821,"86 Berry Street, Unit 3L",Williamsburg,3400,2 BD,1 BA,Brooklyn,Compass
9822,"504 Myrtle Avenue, Unit 5X",Clinton Hill,2550,Studio,1 BA,Brooklyn,Compass
9823,"335 Lefferts Avenue, Unit A7",Prospect Lefferts Gardens,1875,1 BD,1 BA,Brooklyn,Compass
9824,"504 Myrtle Avenue, Unit 4X",Clinton Hill,2750,Studio,1 BA,Brooklyn,Compass
9825,"504 Myrtle Avenue, Unit 3T",Clinton Hill,3100,1 BD,1 BA,Brooklyn,Compass
9826,"37 Blue, Unit 21N",Greenpoint,3253,1 BD,1 BA,Brooklyn,Compass
9827,"733 Bushwick Avenue, Unit 1F",Bushwick,3300,3 BD,1.5 BA,Brooklyn,Compass
9828,"504 Myrtle Avenue, Unit 4V",Clinton Hill,3000,1 BD,1 BA,Brooklyn,Compass
9829,"420 Kent Avenue, Unit 425",Williamsburg,2490,Studio,1 BA,Brooklyn,Compass
9830,"57 South 1st Street, Unit 1B",Williamsburg,9167,5 BD,2 BA,Brooklyn,Compass
9831,"77 Newell Street, Unit 2",Greenpoint,3750,3 BD,2 BA,Brooklyn,Compass
9832,"77 Newell Street, Unit 1",Greenpoint,5600,4 BD,4 BA,Brooklyn,Compass
9833,"420 Kent Avenue, Unit 428",Williamsburg,2686,Studio,1 BA,Brooklyn,Compass
9834,"37 Blue, Unit 18R",Greenpoint,3120,Studio,1 BA,Brooklyn,Compass
9835,"883 Albany Avenue, Unit 1",East Flatbush,2350,3 BD,1 BA,Brooklyn,Compass
9836,"37 Blue, Unit 16P",Greenpoint,3501,1 BD,1 BA,Brooklyn,Compass
9837,"1 Northside Piers, Unit 5B",Williamsburg,4995,2 BD,2 BA,Brooklyn,Compass
9838,"460 State Street, Unit 3",Boerum Hill,2600,2 BD,1 BA,Brooklyn,Compass
9839,"45 Cook Street, Unit 1A",East Williamsburg,2500,1 BD,1 BA,Brooklyn,Compass
9840,"420 Kent Avenue, Unit 416",Williamsburg,2770,Studio,1 BA,Brooklyn,Compass
9841,"27 Quincy Street, Unit 4D",Clinton Hill,2800,1 BD,1 BA,Brooklyn,Compass
9842,"45 Hoyt Street, Unit 20A",Downtown Brooklyn,4030,1 BD,1 BA,Brooklyn,Compass
9843,"420 Kent Avenue, Unit 318",Williamsburg,2699,Studio,1 BA,Brooklyn,Compass
9844,"257 Ainslie Street, Unit 1R",East Williamsburg,2200,2 BD,1 BA,Brooklyn,Compass
9845,1 Flatbush Avenue,Fort Greene,3686,1 BD,1 BA,Brooklyn,Compass
9846,"420 Kent Avenue, Unit 322",Williamsburg,3275,Studio,1 BA,Brooklyn,Compass
9847,"1 Hanson Place, Unit 16H",Fort Greene,7000,2 BD,2 BA,Brooklyn,Compass
9848,"1703 East 14th Street, Unit 7",Homecrest,1755,2 BD,1 BA,Brooklyn,Compass
9849,"176 Stockholm Street, Unit 2B",Bushwick,2500,2 BD,1 BA,Brooklyn,Compass
9850,"1 Flatbush Avenue, Unit 3011",Fort Greene,4286,2 BD,1 BA,Brooklyn,Compass
9851,"45 Hoyt Street, Unit 23D",Downtown Brooklyn,6150,2 BD,2 BA,Brooklyn,Compass
9852,"248 Duffield Street, Unit 7K",Downtown Brooklyn,3499,Studio,1 BA,Brooklyn,Compass
9853,"420 Kent Avenue, Unit 404",Williamsburg,3925,1 BD,1 BA,Brooklyn,Compass
9854,"45 Hoyt Street, Unit 14Q",Downtown Brooklyn,3335,Studio,1 BA,Brooklyn,Compass
9855,"82 Quincy Street, Unit 1",Clinton Hill,2800,2 BD,1 BA,Brooklyn,Compass
9856,"57 South 1st Street, Unit 1",Williamsburg,9167,4 BD,2 BA,Brooklyn,Compass
9857,420 Kent Avenue,Williamsburg,4499,1 BD,1 BA,Brooklyn,Compass
9858,"786 Prospect Place, Unit 1F",Crown Heights,2150,1 BD,1 BA,Brooklyn,Compass
9859,"710 Macdonough Street, Unit 2L",Bedford-Stuyvesant,2000,2 BD,1 BA,Brooklyn,Compass
9860,"33 Lincoln Road, Unit 5D",Prospect Lefferts Gardens,2350,Studio,1 BA,Brooklyn,Compass
9861,"33 Lincoln Road, Unit 9B",Prospect Lefferts Gardens,3340,2 BD,1 BA,Brooklyn,Compass
9862,"678-682 Prospect Place, Unit 3F",Crown Heights,2500,1 BD,1 BA,Brooklyn,Compass
9863,246 Carlton Avenue,Fort Greene,11000,3 BD,2.5 BA,Brooklyn,Compass
9864,"470-480 Ocean Parkway, Unit 9D",Kensington,1900,1 BD,1 BA,Brooklyn,Compass
9865,"351 Franklin Avenue, Unit 5L",Clinton Hill,5750,4 BD,2 BA,Brooklyn,Compass
9866,"362 Lincoln Place, Unit E5",Prospect Heights,4815,3 BD,2.5 BA,Brooklyn,Compass
9867,"530 Hegeman Avenue, Unit 2R",East New York,2299,3 BD,1 BA,Brooklyn,Compass
9868,"14 Bay Ridge Avenue, Unit 1B",Bay Ridge,3300,2 BD,2 BA,Brooklyn,Compass
9869,"85 Bergen Street, Unit 2B",Boerum Hill,2275,1 BD,1 BA,Brooklyn,Compass
9870,"74 South 4th Street, Unit 1B",Williamsburg,4450,3 BD,1.5 BA,Brooklyn,Compass
9871,"706 Sackett Street, Unit 2R",North Slope,2699,1 BD,1 BA,Brooklyn,Compass
9872,"63 North 3rd Street, Unit 402",Williamsburg,4100,1 BD,1 BA,Brooklyn,Compass
9873,"127 East 3rd Street, Unit 4BN",Windsor Terrace,3150,1 BD,1 BA,Brooklyn,Compass
9874,"693 Flatbush Avenue, Unit 6",Prospect Lefferts Gardens,2700,3 BD,1 BA,Brooklyn,Compass
9875,"1203 East 14th Street, Unit 2",Midwood,2400,3 BD,1 BA,Brooklyn,Compass
9876,"1384 Bedford Avenue, Unit 4B",Crown Heights,3134,2 BD,1 BA,Brooklyn,Compass
9877,"185 Clifton Place, Unit 1R",Clinton Hill,2400,2 BD,1 BA,Brooklyn,Compass
9878,"4609 Church Avenue, Unit 2",East Flatbush,2100,2 BD,1 BA,Brooklyn,Compass
9879,"80 Metropolitan Avenue, Unit 4L",Williamsburg,2950,Studio,1 BA,Brooklyn,Compass
9880,"37 Blue, Unit 25D",Greenpoint,5769,2 BD,2 BA,Brooklyn,Compass
9881,"37 Blue, Unit 25B",Greenpoint,6111,2 BD,2 BA,Brooklyn,Compass
9882,"37 Blue, Unit 26E",Greenpoint,3806,1 BD,1 BA,Brooklyn,Compass
9883,"79 Bridge Street, Unit 3E",DUMBO,3400,Studio,1 BA,Brooklyn,Compass
9884,"1390 Madison Street, Unit B",Bushwick,1650,Studio,1 BA,Brooklyn,Compass
9885,"733 Lexington Avenue, Unit 2",Bedford-Stuyvesant,2550,3 BD,1 BA,Brooklyn,Compass
9886,"354 Franklin Avenue, Unit 2L",Clinton Hill,3275,2 BD,2 BA,Brooklyn,Compass
9887,1 Flatbush Avenue,Fort Greene,2786,Studio,1 BA,Brooklyn,Compass
9888,"45 Hoyt Street, Unit 7L",Downtown Brooklyn,3270,Studio,1 BA,Brooklyn,Compass
9889,"1 Flatbush Avenue, Unit 2004",Fort Greene,3686,1 BD,1 BA,Brooklyn,Compass
9890,"75 Clinton Street, Unit 9K",Brooklyn Heights,10995,3 BD,2.5 BA,Brooklyn,Compass
9891,"103 Chester Avenue, Unit 2",Kensington,2599,3 BD,1 BA,Brooklyn,Compass
9892,"304 10th Street, Unit 25",Park Slope,3115,3 BD,1 BA,Brooklyn,Compass
9893,"3901 13th Avenue, Unit 4",Borough Park,1850,2 BD,1 BA,Brooklyn,Compass
9894,"4109 7th Avenue, Unit 1C",Sunset Park,2245,2 BD,1 BA,Brooklyn,Compass
9895,"404 Atlantic Avenue, Unit 1",Boerum Hill,3000,Studio,1 BA,Brooklyn,Compass
9896,"409 Eastern Parkway, Unit 515",Crown Heights,2910,1 BD,1 BA,Brooklyn,Compass
9897,"461 De Kalb Avenue, Unit 5R",Clinton Hill,3667,4 BD,2 BA,Brooklyn,Compass
9898,"39 Argyle Road, Unit 4A",Prospect Park South,2800,3 BD,1 BA,Brooklyn,Compass
9899,"353 Flatbush Avenue, Unit 2F",Prospect Heights,1950,1 BD,1 BA,Brooklyn,Compass
9900,"22 Dikeman Street, Unit 2C",Red Hook,5300,3 BD,2 BA,Brooklyn,Compass
9901,"796 Grand Street, Unit 1",East Williamsburg,2825,2 BD,1 BA,Brooklyn,Compass
9902,"75 Clinton Street, Unit 4G",Brooklyn Heights,3250,Studio,1 BA,Brooklyn,Compass
9903,"555 Waverly Avenue, Unit 8B",Clinton Hill,3200,1 BD,1 BA,Brooklyn,Compass
9904,"555 Waverly Avenue, Unit 6D",Clinton Hill,2692,Studio,1 BA,Brooklyn,Compass
9905,"555 Waverly Avenue, Unit 5S",Clinton Hill,4429,2 BD,2 BA,Brooklyn,Compass
9906,"45 Argyle Road, Unit 1A",Caton Park,2300,2 BD,1 BA,Brooklyn,Compass
9907,"164 Kent Avenue, Unit 11D",Williamsburg,3100,Studio,1 BA,Brooklyn,Compass
9908,"63 North 3rd Street, Unit 314",Williamsburg,4500,1 BD,1 BA,Brooklyn,Compass
9909,"555 Waverly Avenue, Unit 1D",Clinton Hill,3642,1 BD,1 BA,Brooklyn,Compass
9910,"1040 Dean Street, Unit 307",Crown Heights,3350,2 BD,1 BA,Brooklyn,Compass
9911,"417-419 Hart Street, Unit 3B",Bedford-Stuyvesant,2300,2 BD,1 BA,Brooklyn,Compass
9912,"1 Flatbush Avenue, Unit 1105",Fort Greene,4985,2 BD,2 BA,Brooklyn,Compass
9913,"144 North 8th Street, Unit 12C",Williamsburg,4500,1 BD,1 BA,Brooklyn,Compass
9914,"34 Prospect Place, Unit 2",Park Slope,6700,5 BD,2 BA,Brooklyn,Compass
9915,"1 Flatbush Avenue, Unit 1210",Fort Greene,2815,Studio,1 BA,Brooklyn,Compass
9916,"1 Flatbush Avenue, Unit 1902",Fort Greene,2786,Studio,1 BA,Brooklyn,Compass
9917,"406 Tompkins Avenue, Unit 4R",Bedford-Stuyvesant,1999,2 BD,1 BA,Brooklyn,Compass
9918,"1346 Jefferson Avenue, Unit 3",Bushwick,2200,2 BD,1 BA,Brooklyn,Compass
9919,"330 Macdonough Street, Unit 2",Bedford-Stuyvesant,2350,2 BD,1 BA,Brooklyn,Compass
9920,"1050 Decatur Street, Unit 1R",Bushwick,2975,3 BD,2 BA,Brooklyn,Compass
9921,"46 South 2nd Street, Unit 1C",Williamsburg,5000,3 BD,2.5 BA,Brooklyn,Compass
9922,"684 Macdonough Street, Unit 1",Bedford-Stuyvesant,3200,3 BD,2 BA,Brooklyn,Compass
9923,"426 Bainbridge Street, Unit 3",Bedford-Stuyvesant,2200,2 BD,1 BA,Brooklyn,Compass
9924,"1278 Halsey Street, Unit 1L",Bushwick,2507,3 BD,1 BA,Brooklyn,Compass
9925,"292 Bedford Avenue, Unit 2A",Williamsburg,2700,Studio,1 BA,Brooklyn,Compass
9926,"33 Lincoln Road, Unit 3A",Prospect Lefferts Gardens,2733,2 BD,1 BA,Brooklyn,Compass
9927,"33 Lincoln Road, Unit 8B",Prospect Lefferts Gardens,2733,2 BD,1 BA,Brooklyn,Compass
9928,"33 Lincoln Road, Unit 4C",Prospect Lefferts Gardens,2733,2 BD,1 BA,Brooklyn,Compass
9929,"518 Bainbridge Street, Unit 3A",Bedford-Stuyvesant,2150,2 BD,1 BA,Brooklyn,Compass
9930,"222 17th Street, Unit 3",Greenwood Heights,2600,2 BD,1 BA,Brooklyn,Compass
9931,"33 Bond Street, Unit 1531",Downtown Brooklyn,3670,1 BD,1 BA,Brooklyn,Compass
9932,"661 Flatbush Avenue, Unit 11",Prospect Lefferts Gardens,1500,Studio,1 BA,Brooklyn,Compass
9933,"91 8th Avenue, Unit 1P",North Slope,3100,1 BD,1 BA,Brooklyn,Compass
9934,"164 Kent Avenue, Unit 30P",Williamsburg,7500,2 BD,2.5 BA,Brooklyn,Compass
9935,"374 85th Street, Unit 3A",Bay Ridge,1899,1 BD,1 BA,Brooklyn,Compass
9936,"345 Adelphi Street, Unit 1",Fort Greene,3600,2 BD,1 BA,Brooklyn,Compass
9937,"219 5th Avenue, Unit 2R",North Slope,3050,2 BD,1 BA,Brooklyn,Compass
9938,"751 De Kalb Avenue, Unit 4R",Bedford-Stuyvesant,2850,3 BD,1 BA,Brooklyn,Compass
9939,"387 Eastern Parkway, Unit 17",Crown Heights,1807,1 BD,1 BA,Brooklyn,Compass
9940,"45 Hoyt Street, Unit 12E",Downtown Brooklyn,5955,2 BD,2 BA,Brooklyn,Compass
9941,"45 Hoyt Street, Unit 9M",Downtown Brooklyn,2980,Studio,1 BA,Brooklyn,Compass
9942,"75 Van Buren Street, Unit 1",Bedford-Stuyvesant,4400,4 BD,2 BA,Brooklyn,Compass
9943,"479 Prospect Place, Unit 4A",Crown Heights,3300,3 BD,2 BA,Brooklyn,Compass
9944,"479 Prospect Place, Unit 3A",Crown Heights,3300,3 BD,1 BA,Brooklyn,Compass
9945,"146 Pierrepont Street, Unit 11D",Brooklyn Heights,10714,3 BD,3 BA,Brooklyn,Compass
9946,246 Prospect Place,Prospect Heights,3200,1 BD,1 BA,Brooklyn,Compass
9947,"146 Pierrepont Street, Unit 19D",Brooklyn Heights,7886,2 BD,2 BA,Brooklyn,Compass
9948,"146 Pierrepont Street, Unit 12F",Brooklyn Heights,5169,1 BD,1 BA,Brooklyn,Compass
9949,"146 Pierrepont Street, Unit 19A",Brooklyn Heights,11308,3 BD,2 BA,Brooklyn,Compass
9950,"146 Pierrepont Street, Unit 16F",Brooklyn Heights,6692,2 BD,2 BA,Brooklyn,Compass
9951,"146 Pierrepont Street, Unit 17C",Brooklyn Heights,12257,3 BD,3 BA,Brooklyn,Compass
9952,"761 Westminster Road, Unit 2",Ditmas Park,3000,2 BD,1 BA,Brooklyn,Compass
9953,"146 Pierrepont Street, Unit 15D",Brooklyn Heights,13846,3 BD,3 BA,Brooklyn,Compass
9954,315 Atlantic Avenue,Boerum Hill,3500,1 BD,1 BA,Brooklyn,Compass
9955,"360 Leonard Street, Unit 3",Williamsburg,2800,2 BD,1 BA,Brooklyn,Compass
9956,"97 North 4th Street, Unit 4",Williamsburg,2800,2 BD,1 BA,Brooklyn,Compass
9957,"387 Eastern Parkway, Unit 26",Crown Heights,3200,2 BD,1 BA,Brooklyn,Compass
9958,"834 Herkimer Street, Unit 3B",Bedford-Stuyvesant,2950,2 BD,1 BA,Brooklyn,Compass
9959,"75 Grand Avenue, Unit 1A",Clinton Hill,4200,3 BD,1.5 BA,Brooklyn,Compass
9960,"107-117 Brooklyn Avenue, Unit B2",Crown Heights,2350,2 BD,1 BA,Brooklyn,Compass
9961,"60 Broadway, Unit 10G",Williamsburg,7300,2 BD,2.5 BA,Brooklyn,Compass
9962,"305 Mcguinness Boulevard, Unit 4C",Greenpoint,4300,2 BD,1 BA,Brooklyn,Compass
9963,"165 Vanderbilt Avenue, Unit 2A",Clinton Hill,2795,1 BD,1 BA,Brooklyn,Compass
9964,"455 Chauncey Street, Unit 3",Bedford-Stuyvesant,2050,2 BD,1 BA,Brooklyn,Compass
9965,"37 Blue, Unit 25K",Greenpoint,2906,Studio,1 BA,Brooklyn,Compass
9966,"1402 Park Place, Unit 4",Weeksville,2399,2 BD,1 BA,Brooklyn,Compass
9967,"638 10th Street, Unit 1",Park Slope,5500,2 BD,1.5 BA,Brooklyn,Compass
9968,"37 Blue, Unit 20D",Greenpoint,5597,2 BD,2 BA,Brooklyn,Compass
9969,"574 Eastern Parkway, Unit 1",Crown Heights,4850,4 BD,2.5 BA,Brooklyn,Compass
9970,"51 Macdougal Street, Unit 3R",Bedford-Stuyvesant,1795,2 BD,1 BA,Brooklyn,Compass
9971,"1 Flatbush Avenue, Unit 1401",Fort Greene,2786,Studio,1 BA,Brooklyn,Compass
9972,"1269 Rogers Avenue, Unit 3",Flatbush,2295,3 BD,2 BA,Brooklyn,Compass
9973,"357 15th Street, Unit 3B",South Slope,2950,1 BD,1 BA,Brooklyn,Compass
9974,"1072 Bergen Street, Unit 3F",Crown Heights,2495,2 BD,1 BA,Brooklyn,Compass
9975,"45 Hoyt Street, Unit 16J",Downtown Brooklyn,6650,2 BD,2 BA,Brooklyn,Compass
9976,"1 Flatbush Avenue, Unit 301",Fort Greene,4286,2 BD,1 BA,Brooklyn,Compass
9977,"23 Lincoln Place, Unit 2",Park Slope,3000,1 BD,1 BA,Brooklyn,Compass
9978,"1 Flatbush Avenue, Unit 1114",Fort Greene,2746,Studio,1 BA,Brooklyn,Compass
9979,"23 Lincoln Place, Unit 3",Park Slope,3000,1 BD,1 BA,Brooklyn,Compass
9980,"257 15th Street, Unit 104",Park Slope,3250,2 BD,1 BA,Brooklyn,Compass
9981,"107-117 Brooklyn Avenue, Unit A8",Crown Heights,1750,1 BD,1 BA,Brooklyn,Compass
9982,"465 Eastern Parkway, Unit Q",Crown Heights,3000,3 BD,1 BA,Brooklyn,Compass
9983,"440 Macdonough Street, Unit 2",Bedford-Stuyvesant,3500,3 BD,2 BA,Brooklyn,Compass
9984,546 2nd Street,Central Slope,9500,5 BD,2 BA,Brooklyn,Compass
9985,"74 De Sales Place, Unit 2F",Bushwick,2449,3 BD,1 BA,Brooklyn,Compass
9986,"588 Franklin Avenue, Unit 2",Crown Heights,3395,3 BD,1 BA,Brooklyn,Compass
9987,"55 North 5th Street, Unit 601E",Williamsburg,5160,2 BD,2 BA,Brooklyn,Compass
9988,"45 Hoyt Street, Unit 9E",Downtown Brooklyn,4465,1 BD,1 BA,Brooklyn,Compass
9989,543 Hancock Street,Bedford-Stuyvesant,2500,2 BD,1 BA,Brooklyn,Compass
9990,"325 16th Street, Unit B",Park Slope,7800,3 BD,3.5 BA,Brooklyn,Compass
9991,"325 16th Street, Unit A",South Slope,4985,2 BD,1.5 BA,Brooklyn,Compass
9992,"219 Central Avenue, Unit 3L",Bushwick,2399,2 BD,2 BA,Brooklyn,Compass
9993,"80 Metropolitan Avenue, Unit 4H",Williamsburg,6350,2 BD,2 BA,Brooklyn,Compass
9994,"646 President Street, Unit 3B",North Slope,2195,1 BD,1 BA,Brooklyn,Compass
9995,"383 Macdonough Street, Unit 1",Bedford-Stuyvesant,2400,2 BD,1 BA,Brooklyn,Compass
9996,"2108 Dorchester Road, Unit 2D",Ditmas Park,2600,3 BD,1 BA,Brooklyn,Compass
9997,"515 Ocean Avenue, Unit 3DE",Flatbush,2395,1 BD,1 BA,Brooklyn,Compass
9998,"44 Berry Street, Unit 2C",Williamsburg,4215,2 BD,1 BA,Brooklyn,Compass
9999,"364 Park Place, Unit 4",Prospect Heights,2850,2 BD,1 BA,Brooklyn,Compass
10000,"219 Central Avenue, Unit 3I",Bushwick,2399,2 BD,2 BA,Brooklyn,Compass
