,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
295,"949 Columbus Avenue, Unit 8",Upper West Side,3200,3 BD,1 BA,Manhattan,Compass
296,"244 E 5th St, Unit Garden",East Village,5300,1 BD,1 BA,Manhattan,Compass
297,"225 5th Avenue, Unit 5S",NoMad,8700,2 BD,2 BA,Manhattan,Compass
298,"212 East 57th Street, Unit 9A",Midtown East,7500,2 BD,2.5 BA,Manhattan,Compass
299,"1485 5th Avenue, Unit 11G",East Harlem,2400,Studio,1 BA,Manhattan,Compass
300,"330 East 119th Street, Unit 3C",East Harlem,2425,1 BD,1 BA,Manhattan,Compass
301,"205 West 54th Street, Unit 2E",Theater District,4000,2 BD,2 BA,Manhattan,Compass
302,"225 West 83rd Street, Unit 7I",Upper West Side,3900,1 BD,1 BA,Manhattan,Compass
304,"161 West 16th Street, Unit 11D",Chelsea,3300,Studio,1 BA,Manhattan,Compass
305,"324 East 30th Street, Unit Ground Floor",Kips Bay,3200,Studio,1 BA,Manhattan,Compass
306,"2056 5th Avenue, Unit 2B",Harlem,5995,3 BD,2.5 BA,Manhattan,Compass
307,"39 Christopher Street, Unit 1B",West Village,2995,1 BD,1 BA,Manhattan,Compass
308,"88 Greenwich Street, Unit 3203",Financial District,2800,Studio,1 BA,Manhattan,Compass
309,"17 Convent Avenue, Unit 3D",Morningside Heights,3100,1 BD,1 BA,Manhattan,Compass
310,"129 Grand Street, Unit 3",SoHo,18000,3 BD,2.5 BA,Manhattan,Compass
311,"845 United Nations Plaza, Unit 78C",Midtown East,22500,3 BD,3.5 BA,Manhattan,Compass
312,"4 West 21st Street, Unit 14A",Flatiron,8500,2 BD,2 BA,Manhattan,Compass
313,"128 West 13th Street, Unit 31",West Village,3229,1 BD,1 BA,Manhattan,Compass
314,900 Park Avenue,Upper East Side,13980,3 BD,3.5 BA,Manhattan,Compass
315,"51 West 81st Street, Unit 8D",Upper West Side,5750,2 BD,2 BA,Manhattan,Compass
316,"1 Morton Square, Unit 10AE",West Village,7500,1 BD,1 BA,Manhattan,Compass
317,"56 Leonard Street, Unit 46EAST",TriBeCa,38500,4 BD,4.5 BA,Manhattan,Compass
318,"123 Washington Street, Unit 43G",Financial District,4375,1 BD,1 BA,Manhattan,Compass
319,287 Edgecombe Avenue,Hamilton Heights,2700,3 BD,1 BA,Manhattan,Compass
321,"627 West 136th Street, Unit 3",Hamilton Heights,2600,2 BD,1 BA,Manhattan,Compass
322,"568 West 192nd Street, Unit 45",Washington Heights,2850,3 BD,2 BA,Manhattan,Compass
323,"145 Lexington Avenue, Unit 5",Kips Bay,8000,2 BD,2 BA,Manhattan,Compass
324,"45 Tudor City Place, Unit 706",Midtown East,1925,Studio,1 BA,Manhattan,Compass
325,"302 West 12th Street, Unit 3A",West Village,6500,1 BD,1 BA,Manhattan,Compass
326,"66 Overlook Terrace, Unit 2H",Washington Heights,2400,1 BD,1 BA,Manhattan,Compass
327,"352 West 117th Street, Unit 4C",Harlem,3000,1 BD,1 BA,Manhattan,Compass
328,"172 Madison Avenue, Unit 22A",Midtown South,9950,2 BD,2.5 BA,Manhattan,Compass
329,"200 Central Park South, Unit 31A",Central Park South,16500,2 BD,2.5 BA,Manhattan,Compass
331,"143 West 4th Street, Unit 4F",Greenwich Village,10000,5 BD,2 BA,Manhattan,Compass
332,"531 Manhattan Avenue, Unit 2",Harlem,6500,3 BD,3 BA,Manhattan,Compass
333,"125 West 22nd Street, Unit 10A",Chelsea,11000,2 BD,2.5 BA,Manhattan,Compass
334,"455 Central Park West, Unit 22B",Upper West Side,6950,2 BD,2.5 BA,Manhattan,Compass
335,"345 East 80th Street, New York, NY, USA, Unit 17J",Upper East Side,3495,1 BD,1 BA,Manhattan,Compass
336,"345 East 80th Street, New York, NY, USA, Unit 17J",Upper East Side,3495,1 BD,1 BA,Manhattan,Compass
337,516 West 134th Street,Morningside Heights,3200,4 BD,2 BA,Manhattan,Compass
338,"245 West 51st Street, Unit 406",Theater District,3795,2 BD,1 BA,Manhattan,Compass
339,"376 Broadway, Unit 13B",TriBeCa,3995,2 BD,1 BA,Manhattan,Compass
341,"158 West 119th Street, Unit PH",Harlem,4000,2 BD,2 BA,Manhattan,Compass
